,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.97086024,0.96861356,49.012684,53.569885
1,100,0.5907659,0.6704987,48.966652,53.565468
2,200,0.29404664,0.42750716,48.91522,53.55493
3,300,0.22738515,0.35839334,48.842663,53.5349
4,400,0.22085665,0.33948773,48.76448,53.522587
5,500,0.21852447,0.32959738,48.688297,53.510426
6,600,0.21311615,0.32137746,48.618126,53.493587
7,700,0.20790261,0.3155407,48.55261,53.472878
8,800,0.20515142,0.3129993,48.49049,53.45445
9,900,0.20453702,0.31318808,48.429543,53.433857
10,1000,0.20505688,0.31396955,48.36934,53.41242
11,1100,0.20602246,0.3150437,48.30817,53.38782
12,1200,0.20696561,0.3163407,48.246323,53.36172
13,1300,0.20759714,0.31730536,48.18343,53.33402
14,1400,0.20778276,0.31791344,48.119442,53.304985
15,1500,0.20790642,0.31842384,48.054356,53.273808
16,1600,0.20778187,0.3187445,47.988373,53.240818
17,1700,0.2076547,0.3190463,47.92142,53.206326
18,1800,0.2074592,0.31921917,47.853626,53.170013
19,1900,0.20725863,0.31932452,47.78498,53.13193
20,2000,0.20690797,0.31932923,47.7155,53.091904
21,2100,0.20639744,0.3191226,47.64517,53.0501
22,2200,0.20575206,0.31883135,47.574055,53.006493
23,2300,0.20502599,0.3186449,47.5021,52.961056
24,2400,0.20421459,0.31850287,47.429554,52.913822
25,2500,0.20333922,0.318371,47.356133,52.864624
26,2600,0.20238304,0.31817022,47.281784,52.8135
27,2700,0.20134017,0.31787005,47.20653,52.76055
28,2800,0.20013912,0.31770223,47.13025,52.705612
29,2900,0.19903965,0.31766877,47.05297,52.648857
30,3000,0.19786724,0.31766227,46.974487,52.589916
31,3100,0.1966912,0.3177812,46.894947,52.528763
32,3200,0.19546464,0.31802717,46.814316,52.465683
33,3300,0.19417162,0.31823376,46.7321,52.40003
34,3400,0.19279978,0.31842184,46.64875,52.332596
35,3500,0.19131435,0.31858888,46.563866,52.26317
36,3600,0.18986103,0.31884825,46.47741,52.19168
37,3700,0.1883957,0.31910878,46.389355,52.117733
38,3800,0.18684891,0.3193523,46.299248,52.041336
39,3900,0.18523605,0.31969127,46.20738,51.96283
40,4000,0.18362889,0.32014498,46.1135,51.88198
41,4100,0.18194973,0.3206372,46.017773,51.799
42,4200,0.18003088,0.32110688,45.919724,51.71347
43,4300,0.17781678,0.3215688,45.81979,51.625595
44,4400,0.17537422,0.32199574,45.717392,51.53478
45,4500,0.1726185,0.32241756,45.612873,51.441624
46,4600,0.16976336,0.32296413,45.505848,51.346107
47,4700,0.1668595,0.32364646,45.396637,51.247593
48,4800,0.16383666,0.32445675,45.285194,51.146317
49,4900,0.16051991,0.3248449,45.171078,51.04188
50,5000,0.15724431,0.32523566,45.05387,50.934357
51,5100,0.15377551,0.32573172,44.934067,50.82358
52,5200,0.14992076,0.32590872,44.812115,50.710762
53,5300,0.14605995,0.3263608,44.68774,50.595913
54,5400,0.14197282,0.3265874,44.56083,50.478016
55,5500,0.1376366,0.3259604,44.43174,50.355873
56,5600,0.13326305,0.32541537,44.300125,50.23141
57,5700,0.12878531,0.32437962,44.16576,50.10473
58,5800,0.124506086,0.32346454,44.028957,49.974808
59,5900,0.120290756,0.32221615,43.889572,49.839817
60,6000,0.11603668,0.32051763,43.749107,49.70026
61,6100,0.11181205,0.31920305,43.607315,49.555702
62,6200,0.10775506,0.31806156,43.463837,49.404316
63,6300,0.103832856,0.3166827,43.318775,49.246284
64,6400,0.099731885,0.31475446,43.173027,49.081406
65,6500,0.095365874,0.3118226,43.024544,48.902206
66,6600,0.09088071,0.3085094,42.875385,48.70628
67,6700,0.08653831,0.30411917,42.7231,48.48815
68,6800,0.08253699,0.29912612,42.57102,48.25174
69,6900,0.078360625,0.29173484,42.42127,47.972202
70,7000,0.07423389,0.28508562,42.27551,47.658836
71,7100,0.07020833,0.27792984,42.126995,47.28936
72,7200,0.0659489,0.26939455,41.97824,46.854324
73,7300,0.06152255,0.26035866,41.82495,46.336254
74,7400,0.05720211,0.24927934,41.663155,45.725613
75,7500,0.05298995,0.2379051,41.505928,45.022045
76,7600,0.049451437,0.21644886,41.359562,44.234814
77,7700,0.046443775,0.20748742,41.2236,43.469643
78,7800,0.04356351,0.19822176,41.074535,42.593903
79,7900,0.0409226,0.18888773,40.91347,41.606598
80,8000,0.03834317,0.17855904,40.739365,40.49117
81,8100,0.035912488,0.16741417,40.54808,39.268196
82,8200,0.033342518,0.15711434,40.333923,37.921474
83,8300,0.0310197,0.14811292,40.088985,36.48233
84,8400,0.028792497,0.13882342,39.80091,34.921978
85,8500,0.026692165,0.12953116,39.472065,33.25802
86,8600,0.024874073,0.120159596,39.07359,31.515438
87,8700,0.023045952,0.11100451,38.61128,29.670631
88,8800,0.021490853,0.1030975,38.05868,27.863995
89,8900,0.019990822,0.0954983,37.43715,26.05127
90,9000,0.01858133,0.086655065,36.73459,24.259445
91,9100,0.017495964,0.07995463,35.939884,22.536467
92,9200,0.016474633,0.07191953,35.062687,20.906229
93,9300,0.015564423,0.06388595,34.094196,19.369864
94,9400,0.0147714615,0.057136603,32.998028,17.957958
95,9500,0.01404342,0.053039595,31.787302,16.677856
96,9600,0.013059717,0.039506674,30.066952,15.329857
97,9700,0.013148673,0.04254009,29.633705,15.079857
98,9800,0.0131009715,0.043343343,29.183468,14.846717
99,9900,0.012989895,0.046025857,28.743229,14.617787
100,10000,0.012866639,0.046714067,28.266394,14.368911
101,10100,0.01272118,0.04587102,27.761652,14.126741
102,10200,0.012619841,0.046224166,27.251032,13.859936
103,10300,0.01249916,0.04644038,26.760685,13.6257
104,10400,0.012380437,0.045633197,26.211546,13.360569
105,10500,0.012263158,0.045094136,25.64962,13.100194
