,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.9701875,0.9681501,49.012486,53.56982
1,100,0.44529969,0.54936886,48.909622,53.557625
2,200,0.22515103,0.37296999,48.803482,53.581074
3,300,0.20157358,0.3447034,48.69704,53.581085
4,400,0.18832374,0.3323427,48.60486,53.578815
5,500,0.18220341,0.33251998,48.54204,53.572365
6,600,0.18106833,0.33744484,48.495377,53.552635
7,700,0.18170238,0.3425111,48.444344,53.525925
8,800,0.18246816,0.34589416,48.387543,53.493027
9,900,0.18336116,0.3488746,48.32324,53.4531
10,1000,0.18365772,0.35107484,48.25236,53.4072
11,1100,0.18369175,0.3527452,48.175335,53.355057
12,1200,0.18342815,0.35405067,48.09202,53.297054
13,1300,0.18300262,0.35501325,48.002907,53.23381
14,1400,0.18239395,0.3557439,47.908237,53.164776
15,1500,0.18175349,0.35670915,47.80776,53.08998
16,1600,0.18109517,0.35787702,47.701305,53.00992
17,1700,0.18027705,0.35865867,47.5892,52.924892
18,1800,0.1793065,0.3594435,47.47081,52.83487
19,1900,0.1781614,0.3601598,47.346264,52.739727
20,2000,0.17705767,0.36104167,47.21542,52.639465
21,2100,0.1758395,0.36201385,47.07822,52.533672
22,2200,0.17422146,0.3630523,46.934677,52.422295
23,2300,0.17280966,0.36471924,46.78443,52.30501
24,2400,0.17108892,0.3667099,46.626976,52.181305
25,2500,0.16918631,0.36818695,46.462784,52.05157
26,2600,0.16725095,0.3699254,46.291374,51.915634
27,2700,0.16512342,0.37117395,46.112377,51.773327
28,2800,0.162651,0.37214294,45.92656,51.624416
29,2900,0.16002262,0.37299535,45.733604,51.469616
30,3000,0.15726472,0.37354794,45.533306,51.308365
31,3100,0.15411417,0.37272012,45.32633,51.139454
32,3200,0.15081486,0.3722447,45.113464,50.96356
33,3300,0.14733239,0.37203863,44.893303,50.779774
34,3400,0.14358903,0.37194195,44.666225,50.588203
35,3500,0.1396192,0.3718017,44.432842,50.3914
36,3600,0.13562797,0.3726799,44.19271,50.18709
37,3700,0.13124529,0.37195003,43.946762,49.977192
38,3800,0.12684152,0.37038887,43.69508,49.759567
39,3900,0.12245802,0.3694889,43.43737,49.535458
40,4000,0.118060865,0.36811885,43.173447,49.30413
41,4100,0.11336684,0.36602488,42.904285,49.063976
42,4200,0.108503476,0.3636202,42.630394,48.823578
43,4300,0.103687085,0.3615304,42.355087,48.570614
44,4400,0.09887936,0.3591241,42.07558,48.31069
45,4500,0.09416415,0.35635313,41.795,48.03991
46,4600,0.08936696,0.35178092,41.51167,47.75851
47,4700,0.08454313,0.34690386,41.229393,47.466625
48,4800,0.07973838,0.34186324,40.944992,47.15663
49,4900,0.07501725,0.33477333,40.660027,46.825455
50,5000,0.07052748,0.32674795,40.376488,46.470142
51,5100,0.06610974,0.316624,40.086815,46.07107
52,5200,0.06185193,0.30577594,39.793777,45.623344
53,5300,0.057700753,0.2941733,39.499428,45.10929
54,5400,0.053342793,0.28284073,39.20676,44.51815
55,5500,0.04883923,0.26655546,38.91116,43.844894
56,5600,0.0447425,0.24641709,38.60942,43.069733
57,5700,0.041047834,0.23060349,38.314194,42.174633
58,5800,0.03782245,0.21597812,38.01972,41.13506
59,5900,0.034692306,0.20056166,37.723488,39.921688
60,6000,0.031779632,0.1834277,37.399715,38.52694
61,6100,0.029210879,0.166627,37.046947,36.94959
62,6200,0.02682383,0.15256257,36.669792,35.19272
63,6300,0.024498258,0.13908067,36.253143,33.259365
64,6400,0.022429323,0.123364374,35.785015,31.143454
65,6500,0.020528182,0.11048862,35.243576,28.939037
66,6600,0.018877639,0.09935106,34.636337,26.705923
67,6700,0.017368095,0.08846948,33.960384,24.494753
68,6800,0.016172716,0.08037464,33.196106,22.38116
69,6900,0.015138089,0.0729059,32.3437,20.344221
70,7000,0.014274111,0.06623209,31.41502,18.482649
71,7100,0.013514678,0.0612048,30.40523,16.890562
72,7200,0.012924818,0.056980312,29.29871,15.497907
73,7300,0.01238797,0.054416724,28.094763,14.279735
74,7400,0.01192263,0.052134484,26.775099,13.205965
75,7500,0.011545724,0.049915772,25.332487,12.285008
76,7600,0.0110888835,0.04746611,23.774508,11.457548
77,7700,0.010701384,0.04663567,22.258247,10.728749
78,7800,0.010360608,0.04628067,20.857119,10.156579
79,7900,0.010034057,0.045967255,19.513416,9.672477
80,8000,0.009780313,0.045825243,18.2135,9.24008
81,8100,0.009539866,0.045712113,16.967045,8.901932
82,8200,0.009345116,0.045507234,15.7997265,8.56733
83,8300,0.0092469305,0.04548179,14.733559,8.303684
84,8400,0.009132645,0.045369606,13.766753,8.036548
85,8500,0.009040639,0.04531286,12.923005,7.812569
86,8600,0.0089999,0.045293856,12.16143,7.6414795
87,8700,0.00890246,0.045146402,11.484766,7.4554596
88,8800,0.008848546,0.045020998,10.884236,7.31709
89,8900,0.00876089,0.04474812,10.363697,7.18473
90,9000,0.008602737,0.044464905,9.910328,7.048881
91,9100,0.008511351,0.044288147,9.500852,6.925099
92,9200,0.008424978,0.04416947,9.13589,6.805968
93,9300,0.008397928,0.0439936,8.811371,6.6890326
94,9400,0.008243584,0.043964505,8.524691,6.5885973
95,9500,0.008227771,0.043741964,8.252785,6.4854965
96,9600,0.008056716,0.043649014,8.010878,6.3927484
97,9700,0.0080421455,0.043552697,7.7774076,6.2944093
