,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.96064705,0.96133643,47.47655,52.738342
1,100,0.8775122,0.8930625,47.468243,52.732143
2,200,0.6867732,0.734255,47.440945,52.71916
3,300,0.49770537,0.5844262,47.39884,52.70012
4,400,0.38222104,0.48792434,47.36326,52.685734
5,500,0.3135388,0.42569536,47.33675,52.67329
6,600,0.26822236,0.38096434,47.31285,52.66092
7,700,0.24158263,0.34881237,47.288864,52.64712
8,800,0.23166195,0.3274727,47.2655,52.632137
9,900,0.22417654,0.31283996,47.243156,52.613796
10,1000,0.22227895,0.30282775,47.223076,52.598396
11,1100,0.22068797,0.29527697,47.206352,52.581543
12,1200,0.22131027,0.2900439,47.187897,52.563595
13,1300,0.22060359,0.28549773,47.171318,52.548195
14,1400,0.22094066,0.28159478,47.156273,52.53207
15,1500,0.22122097,0.2795645,47.14289,52.516457
16,1600,0.2201098,0.27620226,47.132263,52.5039
17,1700,0.2205563,0.2743318,47.12088,52.491833
18,1800,0.22016032,0.2724506,47.1105,52.481018
19,1900,0.21960716,0.27046633,47.099762,52.470074
20,2000,0.21775447,0.26876655,47.090828,52.45907
21,2100,0.2160789,0.2671447,47.083416,52.449738
22,2200,0.21408412,0.26532963,47.07667,52.44087
23,2300,0.21176316,0.263531,47.069218,52.43272
24,2400,0.21052465,0.2625071,47.06264,52.424404
25,2500,0.20927402,0.26166096,47.056595,52.41637
26,2600,0.20789196,0.26050252,47.051056,52.408524
27,2700,0.20669925,0.25958437,47.04613,52.401527
28,2800,0.20522015,0.25863504,47.041767,52.39413
29,2900,0.20434111,0.25893155,47.03698,52.388035
30,3000,0.20472912,0.25913212,47.032776,52.380966
31,3100,0.20442314,0.25920475,47.02876,52.37447
32,3200,0.20443447,0.2592155,47.02527,52.36825
33,3300,0.2041561,0.25918278,47.021427,52.361786
34,3400,0.20421371,0.259022,47.017647,52.355293
35,3500,0.20489495,0.2594227,47.014206,52.348644
36,3600,0.20432723,0.25975555,47.011192,52.342014
37,3700,0.20439304,0.25988662,47.007797,52.33513
38,3800,0.20472242,0.26019683,47.00453,52.327717
39,3900,0.20526718,0.26048955,47.00123,52.320354
40,4000,0.20513546,0.26082218,46.99791,52.31283
41,4100,0.20536225,0.26127908,46.99472,52.305103
42,4200,0.20552233,0.2612158,46.99141,52.29652
43,4300,0.20578112,0.26171446,46.988106,52.28782
44,4400,0.20581488,0.2620515,46.984825,52.27851
45,4500,0.20588313,0.2625779,46.981186,52.269337
46,4600,0.20604189,0.2629656,46.97732,52.25944
47,4700,0.20615676,0.2639362,46.973633,52.2494
48,4800,0.20608449,0.26460457,46.969658,52.23874
49,4900,0.2060241,0.26529005,46.96545,52.227802
50,5000,0.20597719,0.26542738,46.961185,52.21644
51,5100,0.20604108,0.2656455,46.956726,52.204723
52,5200,0.20605002,0.2657209,46.952026,52.19217
53,5300,0.20606259,0.26583785,46.947113,52.179512
54,5400,0.20604433,0.26580963,46.94164,52.16608
55,5500,0.20607708,0.26591754,46.936245,52.15213
56,5600,0.2060091,0.2659221,46.930405,52.13773
57,5700,0.20593831,0.26588908,46.924404,52.122704
58,5800,0.20585525,0.26586065,46.917828,52.107246
59,5900,0.20573361,0.2658198,46.91094,52.091084
60,6000,0.20560561,0.2657877,46.903645,52.074474
61,6100,0.20544523,0.2657018,46.895977,52.057133
62,6200,0.20526533,0.26563025,46.887722,52.03925
63,6300,0.20504218,0.26552096,46.879063,52.020756
64,6400,0.20478421,0.26541048,46.86986,52.001694
65,6500,0.20445034,0.2652388,46.860188,51.982
66,6600,0.2041063,0.26508024,46.8499,51.961826
67,6700,0.20374954,0.26492825,46.839146,51.94103
68,6800,0.20337726,0.26475263,46.827774,51.919632
69,6900,0.2030182,0.26459873,46.815807,51.897755
70,7000,0.20260683,0.26440555,46.803253,51.875362
71,7100,0.20224771,0.26424804,46.79007,51.852486
72,7200,0.20190902,0.26410165,46.776356,51.8292
73,7300,0.20149106,0.26386896,46.761883,51.805347
74,7400,0.20106706,0.26363426,46.746788,51.781082
75,7500,0.2006442,0.2634208,46.731102,51.756367
76,7600,0.20024619,0.2632892,46.714794,51.731266
77,7700,0.19976659,0.26303834,46.69781,51.705853
78,7800,0.19928814,0.26279512,46.680145,51.6798
79,7900,0.19884066,0.26259732,46.661953,51.65362
80,8000,0.1983542,0.26235938,46.643154,51.626926
81,8100,0.19782817,0.26205635,46.623653,51.599754
82,8200,0.1973788,0.26180547,46.60355,51.57244
83,8300,0.19694525,0.26161137,46.582775,51.544807
84,8400,0.19645171,0.26141244,46.561623,51.51687
85,8500,0.19594173,0.26121897,46.539726,51.48858
86,8600,0.19544894,0.2610315,46.517353,51.460022
87,8700,0.1948446,0.26069596,46.49451,51.43117
88,8800,0.19433828,0.26046243,46.471123,51.402134
89,8900,0.1937141,0.26016665,46.4471,51.372704
90,9000,0.19307797,0.25985292,46.42269,51.34301
91,9100,0.19239797,0.2595287,46.39776,51.31292
92,9200,0.1917505,0.25923157,46.372227,51.282513
93,9300,0.19099104,0.2589265,46.346306,51.25188
94,9400,0.19020166,0.2586095,46.32005,51.221222
95,9500,0.1894209,0.2582889,46.29303,51.18993
96,9600,0.18852498,0.2579123,46.265602,51.158634
97,9700,0.18765731,0.2575697,46.237637,51.12708
98,9800,0.18679096,0.2572047,46.209248,51.095123
99,9900,0.18590304,0.25682527,46.180622,51.063046
100,10000,0.18497466,0.25646263,46.15149,51.03063
101,10100,0.18400066,0.25600576,46.122066,50.997787
102,10200,0.18311882,0.25563672,46.092308,50.964546
103,10300,0.18220621,0.25515142,46.062042,50.93062
104,10400,0.18112445,0.25457516,46.031578,50.896797
105,10500,0.18013293,0.2540218,46.001034,50.86263
106,10600,0.17899069,0.25332502,45.969654,50.827496
107,10700,0.1777883,0.25264266,45.93798,50.79251
108,10800,0.17654535,0.25188738,45.905987,50.756813
109,10900,0.17519785,0.25109214,45.873634,50.721073
110,11000,0.17373618,0.2502431,45.841022,50.685764
111,11100,0.1721949,0.2493376,45.807972,50.649998
112,11200,0.17045657,0.2483509,45.774803,50.613247
113,11300,0.16858464,0.2473801,45.74118,50.57654
114,11400,0.16669706,0.24636057,45.707287,50.53954
115,11500,0.16470313,0.24528608,45.673347,50.501366
116,11600,0.16286778,0.24431089,45.63926,50.462685
117,11700,0.16097087,0.24332684,45.604893,50.423454
118,11800,0.1590298,0.24215192,45.56998,50.384014
119,11900,0.15695967,0.24100278,45.53414,50.344112
120,12000,0.15466483,0.23973362,45.4984,50.30393
121,12100,0.15234566,0.23835003,45.46235,50.263287
122,12200,0.15007271,0.23703398,45.42653,50.223206
123,12300,0.1477276,0.23571719,45.390263,50.18148
124,12400,0.14537308,0.23450783,45.35341,50.139263
125,12500,0.1429635,0.23310702,45.316822,50.09649
126,12600,0.14051478,0.23166513,45.279583,50.051548
127,12700,0.13803603,0.23014772,45.242386,50.007595
128,12800,0.13545075,0.22827959,45.204884,49.96263
129,12900,0.13273431,0.22629699,45.166843,49.917088
130,13000,0.12992075,0.2244041,45.128307,49.87097
131,13100,0.12677163,0.22204345,45.09,49.825275
132,13200,0.12481017,0.21805954,45.033276,49.74761
133,13300,0.12279966,0.21646303,44.99042,49.695793
134,13400,0.120703384,0.21488127,44.94817,49.647606
135,13500,0.11852256,0.21294415,44.904285,49.59187
136,13600,0.11623399,0.2108968,44.85991,49.532516
137,13700,0.11393952,0.20896432,44.817745,49.474316
138,13800,0.11153957,0.20682223,44.772346,49.40992
139,13900,0.109126754,0.20466831,44.72716,49.34736
140,14000,0.106802024,0.20261247,44.68038,49.28201
141,14100,0.10442122,0.20061927,44.634098,49.21419
142,14200,0.101944976,0.19815736,44.586407,49.145824
143,14300,0.09945853,0.19563127,44.538036,49.068314
144,14400,0.097022966,0.19341798,44.49038,48.9906
145,14500,0.09457703,0.19098596,44.43955,48.908455
146,14600,0.09218932,0.18838377,44.387936,48.818306
147,14700,0.08977555,0.1856574,44.33553,48.72097
148,14800,0.087452844,0.18293995,44.284367,48.626904
149,14900,0.08503706,0.17990926,44.23165,48.514206
150,15000,0.08273985,0.17644864,44.16774,48.397987
151,15100,0.08032035,0.17317167,44.11053,48.284195
152,15200,0.07779782,0.16947174,44.04906,48.146755
153,15300,0.075245135,0.1655713,43.98453,48.013847
154,15400,0.07267943,0.1613747,43.919468,47.866238
155,15500,0.07012418,0.15729637,43.85018,47.708412
156,15600,0.067505,0.15315504,43.779087,47.538677
157,15700,0.06490444,0.1488013,43.702873,47.345066
158,15800,0.062436648,0.14428495,43.6228,47.151817
159,15900,0.060104333,0.1396052,43.539352,46.930416
160,16000,0.0579122,0.135557,43.457424,46.678745
161,16100,0.055586908,0.13086487,43.37146,46.415283
162,16200,0.053181995,0.12612748,43.27791,46.122253
163,16300,0.050959896,0.121362105,43.17742,45.78037
164,16400,0.048656773,0.116544925,43.081013,45.425438
165,16500,0.046568148,0.11091696,42.966053,45.022667
166,16600,0.04441838,0.10625907,42.834557,44.547115
167,16700,0.04269867,0.09706466,42.62825,43.95661
168,16800,0.041306328,0.094100356,42.477715,43.516853
169,16900,0.039940346,0.09090954,42.322872,43.03831
170,17000,0.038601883,0.087867506,42.152847,42.527145
171,17100,0.037155163,0.08432976,41.96822,41.952286
172,17200,0.03569023,0.08151158,41.77819,41.343906
173,17300,0.034397766,0.079380825,41.564297,40.67715
174,17400,0.0330818,0.07629323,41.34226,39.997284
175,17500,0.03171967,0.072021805,41.108055,39.229992
176,17600,0.03033171,0.068705685,40.842415,38.414635
177,17700,0.029137693,0.064950004,40.566685,37.59466
178,17800,0.027860766,0.061208997,40.27865,36.7054
179,17900,0.026679564,0.05693372,39.95347,35.818993
180,18000,0.02472618,0.043862328,39.2564,34.282417
181,18100,0.02442902,0.043822218,39.093346,33.987698
182,18200,0.024164734,0.04379809,38.915337,33.722366
183,18300,0.023864392,0.043831892,38.73134,33.445454
184,18400,0.023585044,0.044032734,38.534927,33.161243
185,18500,0.023214588,0.044335365,38.327633,32.85556
186,18600,0.022884106,0.04373303,38.108192,32.525322
187,18700,0.022532899,0.043188013,37.87993,32.17497
188,18800,0.022099983,0.042697378,37.6428,31.820072
189,18900,0.021757668,0.042930674,37.396923,31.466496
190,19000,0.021318065,0.042080466,37.145954,31.07755
191,19100,0.020956893,0.041974623,36.87678,30.68302
192,19200,0.020538691,0.041794576,36.61937,30.308094
193,19300,0.020179855,0.041528393,36.336006,29.886547
194,19400,0.019734653,0.03950258,36.035313,29.362358
195,19500,0.019370591,0.03952976,35.734573,28.948769
196,19600,0.018964695,0.03948523,35.424274,28.508387
197,19700,0.018546844,0.03906705,35.110073,28.046417
198,19800,0.018258978,0.03932267,34.78035,27.632303
199,19900,0.017849151,0.0379238,34.438816,27.091063
