,Iteration,Loss,PCA_Loss,Proton_Entropy,Neutron_Entropy
0,0,0.96053916,0.9613345,47.469543,52.731693
1,100,0.8297402,0.8715175,46.765953,52.0666
2,200,0.5333374,0.66935176,46.208786,51.535225
3,300,0.30892757,0.52217644,45.898384,51.23639
4,400,0.23879845,0.4807752,45.68856,51.039192
5,500,0.21358933,0.46869177,45.499058,50.867027
6,600,0.20277369,0.46543512,45.320946,50.709118
7,700,0.19858617,0.46635196,45.154655,50.56556
8,800,0.19711518,0.4694596,45.002472,50.43735
9,900,0.1959352,0.47328496,44.86926,50.328003
10,1000,0.19519506,0.47811508,44.75863,50.23997
11,1100,0.1931252,0.48217997,44.670273,50.174183
12,1200,0.19121489,0.48611712,44.602898,50.128483
13,1300,0.1898598,0.4903571,44.55372,50.100643
14,1400,0.18851307,0.49422878,44.518913,50.08692
15,1500,0.18869227,0.49852416,44.495144,50.08451
16,1600,0.18931131,0.5032419,44.480175,50.090946
17,1700,0.19039096,0.50763875,44.471622,50.103977
18,1800,0.19132207,0.5108713,44.467815,50.12179
19,1900,0.19166087,0.5132176,44.468056,50.14315
20,2000,0.19211212,0.51516277,44.471123,50.16712
21,2100,0.19279653,0.51686096,44.47639,50.192955
22,2200,0.1936783,0.51837254,44.483395,50.220047
23,2300,0.19434677,0.5195618,44.491814,50.2482
24,2400,0.19501151,0.52069885,44.501446,50.277096
25,2500,0.19557218,0.5216242,44.512012,50.30634
26,2600,0.19603534,0.5222547,44.523136,50.33578
27,2700,0.19639459,0.52259266,44.53469,50.365288
28,2800,0.19664,0.522768,44.54658,50.394585
29,2900,0.19680378,0.5228194,44.558628,50.42366
30,3000,0.19693913,0.52276534,44.570858,50.45253
31,3100,0.19707917,0.52266705,44.583195,50.48119
32,3200,0.1971064,0.52242774,44.59551,50.5094
33,3300,0.19712561,0.52212775,44.607857,50.537212
34,3400,0.19709286,0.52178323,44.620014,50.564476
35,3500,0.19701047,0.5213608,44.63214,50.59121
36,3600,0.19694728,0.5209492,44.64407,50.617523
37,3700,0.19688272,0.5204339,44.655876,50.643307
38,3800,0.19674125,0.519856,44.66748,50.668633
39,3900,0.19658893,0.5192696,44.6789,50.693367
40,4000,0.19638392,0.5186546,44.69018,50.71763
41,4100,0.19613212,0.51808435,44.701126,50.74137
42,4200,0.19588295,0.5177723,44.711723,50.764496
43,4300,0.19556966,0.51744044,44.722042,50.787136
44,4400,0.19530773,0.5171371,44.73211,50.80919
45,4500,0.19510317,0.51681453,44.741814,50.83078
46,4600,0.19488686,0.51637,44.751247,50.851753
47,4700,0.1946552,0.5158377,44.76038,50.872303
48,4800,0.19436494,0.51525056,44.76926,50.892235
49,4900,0.19398765,0.5148245,44.777737,50.911785
50,5000,0.19354182,0.5141939,44.786064,50.930946
51,5100,0.193061,0.5135317,44.794086,50.949806
52,5200,0.19253753,0.5128198,44.801975,50.968346
53,5300,0.19189385,0.5120275,44.80969,50.98659
54,5400,0.19110787,0.5111345,44.817276,51.004547
55,5500,0.19023615,0.5102437,44.824734,51.02222
56,5600,0.18935746,0.5092741,44.83198,51.03956
57,5700,0.1883817,0.5080949,44.838993,51.056572
58,5800,0.18727411,0.5065591,44.845985,51.07323
59,5900,0.18614595,0.5051902,44.852676,51.089684
60,6000,0.18498248,0.50394225,44.85932,51.105797
61,6100,0.18381746,0.5027385,44.865856,51.121765
62,6200,0.18258716,0.50150996,44.87219,51.13754
63,6300,0.18119775,0.5002419,44.878418,51.1533
64,6400,0.17982766,0.4990977,44.884815,51.16899
65,6500,0.17833216,0.49795988,44.891235,51.184574
66,6600,0.17677665,0.49685758,44.897552,51.199936
67,6700,0.17522684,0.49579176,44.904106,51.21536
68,6800,0.17360379,0.4948008,44.910675,51.231113
69,6900,0.17195456,0.49375653,44.91749,51.2466
70,7000,0.17024961,0.49269357,44.924812,51.262085
71,7100,0.1685043,0.49141625,44.932312,51.277866
72,7200,0.16679527,0.4901937,44.940014,51.293762
73,7300,0.16492033,0.4888029,44.948082,51.30964
74,7400,0.16299483,0.48738438,44.956253,51.325962
75,7500,0.16118571,0.48593187,44.964924,51.34215
76,7600,0.15938595,0.4844041,44.974163,51.358105
77,7700,0.157441,0.48254022,44.983753,51.373928
78,7800,0.15535335,0.48112378,44.99376,51.38979
79,7900,0.15320322,0.4792994,45.00452,51.405857
80,8000,0.15097956,0.47748554,45.01626,51.422173
81,8100,0.14858532,0.4754855,45.028572,51.43765
82,8200,0.1461335,0.4731923,45.04122,51.453827
83,8300,0.1436592,0.47095156,45.055054,51.470215
84,8400,0.14118241,0.46876773,45.070507,51.48654
85,8500,0.1388612,0.46672243,45.085983,51.50271
86,8600,0.13635705,0.46468988,45.101418,51.519176
87,8700,0.13376138,0.46275097,45.117855,51.536156
88,8800,0.13116305,0.46062857,45.13444,51.553436
89,8900,0.12839656,0.45855355,45.151253,51.57062
90,9000,0.12559813,0.456412,45.169407,51.587788
91,9100,0.12282752,0.45420283,45.188873,51.60491
92,9200,0.12010586,0.45187283,45.2078,51.621822
93,9300,0.11729991,0.4494196,45.228203,51.640038
94,9400,0.11427625,0.44641206,45.25079,51.658436
95,9500,0.11111849,0.442928,45.273212,51.67568
96,9600,0.107900776,0.43932492,45.2943,51.694817
97,9700,0.10480399,0.43613803,45.316128,51.71457
