,Iteration,Loss,Proton_Entropy,Neutron_Entropy,Regularization
0,0,1.2364635,48.84132,53.71872,0.020512009
1,100,0.9043887,40.67785,46.55249,0.017446067
2,200,0.6134732,31.199968,39.167072,0.014073408
3,300,0.43177906,26.38943,35.279465,0.012333778
4,400,0.34254822,21.259766,29.024607,0.010056874
5,500,0.29400596,16.41047,22.02908,0.0076879095
6,600,0.26806673,12.96932,15.737592,0.0057413825
7,700,0.24969132,10.432398,11.477112,0.004381902
8,800,0.23146003,8.658776,8.931184,0.0035179919
9,900,0.21365026,7.389588,7.3125873,0.002940435
10,1000,0.19957633,6.405314,6.227552,0.0025265731
11,1100,0.1882096,5.717249,5.505652,0.00224458
12,1200,0.17814097,5.169803,4.982917,0.0020305438
13,1300,0.17231753,4.782049,4.6673656,0.001889883
14,1400,0.16781418,4.4514303,4.387747,0.0017678353
15,1500,0.16400847,4.196398,4.145129,0.0016683054
16,1600,0.16134366,3.9980855,3.9284697,0.001585311
17,1700,0.16088308,3.8481393,3.7264612,0.00151492
18,1800,0.16014335,3.6973944,3.5986223,0.0014592033
19,1900,0.16065103,3.5653558,3.4434006,0.0014017513
20,2000,0.1649701,3.4839466,3.3338275,0.0013635547
21,2100,0.16443278,3.6574035,3.2333436,0.0013781494
22,2200,0.16658974,3.631852,3.0865376,0.0013436779
23,2300,0.16288015,3.6071239,3.0289001,0.0013272048
24,2400,0.15565749,3.4891503,2.9317935,0.0012841887
25,2500,0.14890088,3.397529,2.8921123,0.0012579282
26,2600,0.14604412,3.2036629,2.7849839,0.0011977293
27,2700,0.14162315,3.0708375,2.6936736,0.0011529021
28,2800,0.12717995,2.9790204,2.8847475,0.0011727535
29,2900,0.1163907,2.879296,2.7033484,0.0011165289
30,3000,0.11127879,2.8145008,2.6034591,0.001083592
31,3100,0.1101356,2.761962,2.5265872,0.0010577098
32,3200,0.10547307,2.6964,2.5275993,0.0010447998
33,3300,0.10458834,2.652807,2.5286863,0.0010362986
34,3400,0.098694615,2.6149967,2.5880504,0.0010406093
35,3500,0.097604334,2.6253052,2.6019943,0.0010454599
36,3600,0.09660906,2.5842166,2.5871537,0.0010342741
37,3700,0.08427667,2.5550373,2.6226287,0.0010355331
38,3800,0.08092008,2.5797045,2.56577,0.0010290949
39,3900,0.080456614,2.540655,2.5095477,0.0010100404
40,4000,0.07147853,2.577937,2.4722738,0.0010100421
41,4100,0.07404347,2.6015313,2.42432,0.0010051702
42,4200,0.068261944,2.644827,2.4060845,0.0010101823
43,4300,0.071419924,2.5300848,2.2713783,0.0009602926
44,4400,0.07263356,2.4734247,2.2047098,0.00093562686
45,4500,0.07445333,2.4263833,2.163971,0.0009180708
46,4600,0.07316754,2.355702,2.0973768,0.00089061575
47,4700,0.062100932,2.4256437,2.07778,0.00090068474
48,4800,0.06320883,2.2894142,2.0011694,0.0008581167
