,Iteration,Loss,Proton_Entropy,Neutron_Entropy
0,0,1.5963781,1.9561477,1.7290001
1,100,0.5899296,1.9550126,1.7296088
2,200,0.552289,1.9549611,1.7300946
3,300,0.4696478,1.9594115,1.7358284
4,400,0.73565155,1.9680693,1.7416925
5,500,0.950378,1.983524,1.7488157
6,600,0.9502569,2.0015454,1.7634258
7,700,0.95069176,2.0298984,1.7800833
8,800,0.95094657,2.0658245,1.802904
9,900,0.6185345,2.1050694,1.832543
10,1000,0.6415299,2.142086,1.8644081
11,1100,0.62072396,2.1832826,1.8971936
12,1200,0.6008089,2.224544,1.9324111
13,1300,0.59024143,2.2691858,1.9703734
14,1400,0.5834665,2.3141327,2.0085542
15,1500,0.60477453,2.3555572,2.0494826
16,1600,0.5982204,2.3928607,2.0861793
17,1700,0.5917365,2.4308047,2.1233077
18,1800,0.58514214,2.465797,2.1596367
19,1900,0.57391,2.498701,2.1928718
20,2000,0.57246965,2.5329788,2.223297
21,2100,0.5820151,2.5610318,2.2460604
22,2200,0.54583746,2.5840325,2.2695875
23,2300,0.5202707,2.6043296,2.292048
24,2400,0.5096229,2.6302373,2.3110955
25,2500,0.44806919,2.6500623,2.325295
26,2600,0.42125216,2.6703906,2.3401155
27,2700,0.5422239,2.688666,2.3567703
28,2800,0.73369765,2.7063513,2.3692782
29,2900,0.5531886,2.7241983,2.38369
30,3000,0.562378,2.7402484,2.3978078
31,3100,0.571285,2.7569044,2.411054
32,3200,0.5932324,2.7739153,2.4230576
33,3300,0.6177966,2.7860618,2.4364166
34,3400,0.60745245,2.8009808,2.4455776
35,3500,0.61809534,2.814366,2.4595144
36,3600,0.6095708,2.8315163,2.4707654
37,3700,0.6112266,2.8464894,2.4829319
38,3800,0.60272753,2.8594234,2.4972928
39,3900,0.60301155,2.8741271,2.5065606
40,4000,0.5913617,2.89046,2.5191832
41,4100,0.59705335,2.9063601,2.5298178
42,4200,0.5857433,2.91851,2.5404425
43,4300,0.5817871,2.934635,2.5486088
44,4400,0.57204884,2.9477222,2.5579965
45,4500,0.56036884,2.9603384,2.5678747
