,Iteration,Loss,Proton_Entropy,Neutron_Entropy
0,0,0.95267165,3.2890973,3.0025628
1,100,0.30853018,3.2874954,3.0059226
2,200,0.19417995,3.285448,3.0091844
3,300,0.14438944,3.2911053,3.0170646
4,400,0.10963928,3.3031795,3.0272448
5,500,0.09741159,3.3192637,3.0413713
6,600,0.08306301,3.3376613,3.0588515
7,700,0.08313658,3.359758,3.0789142
8,800,0.06859993,3.3862715,3.101811
9,900,0.058434077,3.4153242,3.1278028
10,1000,0.052812874,3.446089,3.156591
11,1100,0.048829656,3.4811797,3.1889338
12,1200,0.043457586,3.5158048,3.2234068
13,1300,0.039605696,3.5523539,3.259894
14,1400,0.033424832,3.5911891,3.2981176
15,1500,0.033332262,3.6304247,3.3378263
16,1600,0.028202714,3.6714368,3.3800228
17,1700,0.026389353,3.715366,3.4258673
18,1800,0.024785174,3.7651854,3.4747584
19,1900,0.023669275,3.816126,3.5258794
20,2000,0.02336803,3.869982,3.5799088
21,2100,0.02020732,3.9251213,3.6353014
22,2200,0.04257799,3.9812741,3.6959429
23,2300,0.018581811,4.0388904,3.7553961
24,2400,0.01663254,4.0954385,3.815389
25,2500,0.017566243,4.157067,3.876719
26,2600,0.016191708,4.220435,3.936304
27,2700,0.018773662,4.284608,3.9960585
28,2800,0.016859634,4.349275,4.056258
29,2900,0.014682368,4.4144363,4.1144357
30,3000,0.014315179,4.4769897,4.1715455
31,3100,0.015513865,4.54214,4.2263803
32,3200,0.013624172,4.6048856,4.2809663
33,3300,0.012801498,4.6662064,4.333952
34,3400,0.01304811,4.7264524,4.3835325
35,3500,0.013186717,4.783614,4.4327836
36,3600,0.01439363,4.8407674,4.4794827
37,3700,0.011550865,4.8963137,4.522713
38,3800,0.011223771,4.9507165,4.5643096
39,3900,0.012907194,4.999922,4.602707
40,4000,0.011023981,5.0434957,4.646111
41,4100,0.011996374,5.0927925,4.683185
42,4200,0.011329116,5.1381416,4.7247763
43,4300,0.01142161,5.18062,4.761672
44,4400,0.010745109,5.2191987,4.7968144
45,4500,0.011070229,5.2604837,4.8354406
46,4600,0.010044116,5.2995944,4.8708463
47,4700,0.011479278,5.3390646,4.905372
48,4800,0.011014176,5.374858,4.9369655
49,4900,0.010719633,5.413605,4.970838
50,5000,0.009681859,5.4490433,5.000429
51,5100,0.009226662,5.4778934,5.032073
52,5200,0.015942998,5.5099306,5.055466
53,5300,0.010964036,5.5160427,5.0741444
54,5400,0.0094894525,5.5356874,5.103428
55,5500,0.010048497,5.5602827,5.1334996
56,5600,0.008435016,5.587026,5.162588
57,5700,0.009208561,5.61376,5.192195
58,5800,0.008345075,5.6375723,5.2176714
59,5900,0.008151583,5.65902,5.2472014
60,6000,0.009950842,5.682052,5.2745643
61,6100,0.01001572,5.7029495,5.300871
62,6200,0.008756013,5.726384,5.326054
63,6300,0.008137337,5.7478237,5.3509398
64,6400,0.009152557,5.768915,5.3730173
65,6500,0.008445952,5.789641,5.395422
66,6600,0.009210328,5.810049,5.4178534
67,6700,0.009541599,5.8240643,5.437484
68,6800,0.0074872514,5.8456326,5.4584436
69,6900,0.006791616,5.864468,5.4795837
70,7000,0.0067716734,5.883969,5.4999566
71,7100,0.008453886,5.8921146,5.5110273
72,7200,0.007817795,5.9081135,5.5291476
73,7300,0.007666827,5.9269614,5.552389
74,7400,0.008046087,5.937628,5.567534
75,7500,0.009481061,5.957239,5.584584
76,7600,0.0071870303,5.9756093,5.602353
77,7700,0.0073103,5.988468,5.622407
78,7800,0.007413171,6.0051794,5.6335716
79,7900,0.006873299,6.0186334,5.651786
80,8000,0.007277134,6.03168,5.6704617
81,8100,0.006856211,6.040536,5.6922483
82,8200,0.008123372,6.057484,5.7009587
83,8300,0.0066717356,6.067776,5.7143974
84,8400,0.0071511585,6.080004,5.7320194
85,8500,0.009778629,6.085258,5.7453475
86,8600,0.0069314586,6.0928416,5.756077
87,8700,0.007751748,6.1036997,5.7742276
88,8800,0.0072836075,6.117143,5.7920136
89,8900,0.006223613,6.1273394,5.80709
90,9000,0.0072742547,6.134952,5.821191
91,9100,0.006090389,6.149957,5.829459
92,9200,0.0058888695,6.1651692,5.8411117
93,9300,0.007960135,6.180548,5.851927
94,9400,0.0054654484,6.1954856,5.854753
95,9500,0.006807833,6.2070785,5.8676615
96,9600,0.006802298,6.219167,5.872581
97,9700,0.0072441273,6.229665,5.8840446
98,9800,0.00682419,6.2444015,5.89329
99,9900,0.0055947714,6.2558436,5.8998723
100,10000,0.0061679985,6.267864,5.902822
101,10100,0.0058506792,6.2768064,5.9146996
102,10200,0.0056750523,6.289559,5.9222865
103,10300,0.007104102,6.3021646,5.9336667
104,10400,0.0061844946,6.3137336,5.932375
105,10500,0.005798777,6.3213596,5.9415545
106,10600,0.00705551,6.330002,5.9487457
107,10700,0.0075288475,6.339497,5.954172
108,10800,0.006226059,6.3520966,5.9648995
109,10900,0.005880545,6.361801,5.9716983
110,11000,0.005659547,6.3729925,5.9818788
111,11100,0.00540656,6.380372,5.9880853
112,11200,0.006077267,6.3867044,5.9932156
113,11300,0.005542968,6.399879,6.0094132
114,11400,0.004941291,6.415041,6.014512
115,11500,0.0051516406,6.424757,6.021612
116,11600,0.0055914717,6.434309,6.020705
117,11700,0.00582581,6.4227314,6.0202093
118,11800,0.0054804506,6.4323797,6.0306134
