,Iteration,Loss,Proton_Entropy,Neutron_Entropy
0,0,0.9612275,3.2891126,3.0025663
1,100,0.20771974,3.2837875,3.0019596
2,200,0.112255976,3.2852607,3.0047803
3,300,0.07917676,3.2893217,3.0110655
4,400,0.061489515,3.2973392,3.019644
5,500,0.051593594,3.3093107,3.0301461
6,600,0.047883313,3.3249772,3.0441737
7,700,0.038243353,3.3454752,3.0606906
8,800,0.030141767,3.3687756,3.0799212
9,900,0.029167261,3.3966258,3.102778
10,1000,0.028115245,3.4284475,3.1297538
11,1100,0.024536056,3.4647117,3.161052
12,1200,0.021930754,3.5062885,3.1972058
13,1300,0.02302276,3.5529044,3.23883
14,1400,0.02108709,3.6063602,3.2865682
15,1500,0.017507521,3.6661484,3.3392797
16,1600,0.016838783,3.731133,3.3986726
17,1700,0.014372883,3.8008013,3.462643
18,1800,0.014376459,3.8744712,3.533001
19,1900,0.01457809,3.954083,3.6137092
20,2000,0.013048573,4.036071,3.698426
21,2100,0.01086934,4.1216083,3.788972
22,2200,0.011376701,4.2116637,3.8842018
23,2300,0.010639442,4.3030396,3.9833283
24,2400,0.009933553,4.3986015,4.08496
25,2500,0.009244276,4.4942093,4.190048
26,2600,0.008405402,4.592097,4.293924
27,2700,0.008833084,4.6887937,4.3983207
28,2800,0.008075438,4.787481,4.5048165
29,2900,0.008484002,4.8864455,4.6062336
30,3000,0.008135468,4.985555,4.707679
31,3100,0.009420954,5.079316,4.8032994
32,3200,0.007371361,5.178103,4.896522
33,3300,0.0074787526,5.275349,4.986522
34,3400,0.007370522,5.366887,5.071959
35,3500,0.005955517,5.461396,5.154303
36,3600,0.006106184,5.5493493,5.229328
37,3700,0.006053839,5.634902,5.304981
38,3800,0.004821795,5.7191124,5.369133
39,3900,0.0056288196,5.7974577,5.431896
40,4000,0.0055123093,5.874868,5.491749
41,4100,0.004863084,5.944677,5.549233
42,4200,0.0058442443,6.0148063,5.604032
43,4300,0.00642717,6.0799704,5.6646943
44,4400,0.004422248,6.142806,5.711901
45,4500,0.0037146234,6.204636,5.7604246
46,4600,0.0044362564,6.265276,5.8018293
47,4700,0.0057162,6.3183475,5.842552
48,4800,0.004640226,6.371092,5.889809
49,4900,0.004625665,6.418173,5.930842
50,5000,0.005518824,6.46671,5.9744573
51,5100,0.0039429804,6.512443,6.0104656
52,5200,0.004168049,6.5500236,6.0475726
53,5300,0.004173795,6.582732,6.0813117
54,5400,0.0048094327,6.61711,6.1149545
55,5500,0.0045630136,6.648374,6.145981
56,5600,0.003966501,6.674419,6.181975
57,5700,0.0034092658,6.6986556,6.209103
58,5800,0.0033824916,6.720314,6.2400513
59,5900,0.0039046488,6.74454,6.2813416
60,6000,0.003637733,6.7653403,6.3077207
61,6100,0.0030103547,6.7980337,6.34034
62,6200,0.0039273174,6.82017,6.3735147
63,6300,0.0031223483,6.837583,6.3991075
64,6400,0.0036955683,6.863128,6.4199433
65,6500,0.0033798069,6.885636,6.450441
66,6600,0.0034499888,6.9045744,6.4662304
67,6700,0.0030455436,6.9180465,6.478496
68,6800,0.0031667466,6.926967,6.4991655
69,6900,0.0036501884,6.940025,6.525136
70,7000,0.0036461628,6.9568005,6.550435
71,7100,0.0030029176,6.974551,6.563787
72,7200,0.0038216044,6.996209,6.5843844
73,7300,0.0030522007,7.011502,6.5937276
74,7400,0.0030582435,7.0379615,6.5953245
75,7500,0.0027346828,7.048066,6.6066694
76,7600,0.003148646,7.076482,6.618139
77,7700,0.0028486892,7.0922327,6.6420274
78,7800,0.0032781893,7.116921,6.6487913
79,7900,0.0031788994,7.123234,6.65464
80,8000,0.0032099073,7.1393228,6.669293
81,8100,0.0028886618,7.154978,6.677574
