,Iteration,Loss,Proton_Entropy,Neutron_Entropy
0,0,0.9640135,47.240128,53.294796
1,100,0.22617982,47.269474,53.23874
2,200,0.1828067,47.29207,53.23292
3,300,0.16706006,47.223236,53.189472
4,400,0.11726918,47.143368,53.129436
5,500,0.08425897,47.01703,53.052612
6,600,0.07050095,46.869484,52.965385
7,700,0.060483463,46.70417,52.859352
8,800,0.05381101,46.52729,52.728622
9,900,0.046324067,46.339676,52.58163
10,1000,0.04404907,46.132458,52.41156
11,1100,0.042302135,45.904686,52.22026
12,1200,0.037823677,45.661087,51.99902
13,1300,0.036235385,45.350414,51.72105
14,1400,0.033698156,44.96416,51.39929
15,1500,0.032284245,44.53486,51.03727
16,1600,0.030450689,44.063244,50.618126
17,1700,0.02920914,43.54419,50.14713
18,1800,0.028856723,42.965683,49.57335
19,1900,0.02847742,42.304028,48.84054
20,2000,0.028916879,41.542637,47.9859
21,2100,0.029881258,40.68625,46.89666
22,2200,0.03105705,39.720337,45.5566
23,2300,0.031392824,38.60696,43.926506
24,2400,0.03195432,37.309204,41.8978
25,2500,0.032178022,35.83249,39.502518
26,2600,0.03114178,34.15577,36.663315
27,2700,0.031118471,32.349804,33.512325
28,2800,0.031603955,30.393475,30.101791
29,2900,0.031761788,28.386534,26.575209
30,3000,0.031857286,26.316383,23.069826
31,3100,0.031659447,24.116043,19.673563
32,3200,0.031599432,21.971191,16.602125
33,3300,0.031181423,19.901966,13.863994
34,3400,0.030906418,17.926214,11.5661
35,3500,0.030736852,16.046568,9.647523
36,3600,0.030625783,14.326388,8.112551
37,3700,0.030422073,12.793133,6.9153886
38,3800,0.030557951,11.448624,5.9904733
39,3900,0.030991886,10.274939,5.256571
40,4000,0.030972347,9.243535,4.67596
41,4100,0.031037044,8.362723,4.224774
42,4200,0.031037606,7.6039543,3.8675005
43,4300,0.030949943,6.9566593,3.5756881
44,4400,0.031052776,6.398232,3.3403347
45,4500,0.031110965,5.921033,3.1483939
46,4600,0.031029854,5.5043044,2.9883573
47,4700,0.03108041,5.1508737,2.8559585
48,4800,0.031143485,4.841,2.7453508
49,4900,0.03114695,4.577256,2.652816
50,5000,0.031150987,4.3456793,2.574112
51,5100,0.031100567,4.1418004,2.5053918
52,5200,0.03101417,3.9634233,2.447066
