,Iteration,Loss,Proton_Entropy,Neutron_Entropy
0,0,1.1172136,46.39024,52.934254
1,100,0.60454774,46.150322,52.818222
2,200,0.24481408,45.812984,52.70317
3,300,0.19343182,45.63478,52.55951
4,400,0.18446854,45.542717,52.4129
5,500,0.1830763,45.434944,52.250633
6,600,0.18202984,45.279366,52.052628
7,700,0.18085817,45.06772,51.822876
8,800,0.17792316,44.82202,51.549255
9,900,0.17664245,44.536453,51.237537
10,1000,0.1748366,44.20169,50.89466
11,1100,0.1730346,43.822838,50.539825
12,1200,0.17047839,43.399303,50.149895
13,1300,0.16369477,42.921257,49.6827
14,1400,0.15706922,42.391273,49.142574
15,1500,0.15814479,41.834835,48.543835
16,1600,0.15814064,41.229877,47.87953
17,1700,0.15815498,40.565407,47.12788
18,1800,0.15821938,39.83429,46.274296
19,1900,0.15835784,39.029186,45.30175
20,2000,0.15857996,38.143215,44.181107
21,2100,0.15879928,37.17318,42.889435
22,2200,0.15895446,36.102726,41.41634
23,2300,0.15874334,34.92904,39.712944
24,2400,0.15839727,33.650105,37.76852
25,2500,0.15726028,32.21394,35.540936
26,2600,0.15467149,29.84347,33.06406
27,2700,0.13813616,22.9068,29.394314
28,2800,0.12145962,17.753948,24.622385
29,2900,0.11464737,15.233278,21.072264
30,3000,0.1127152,13.513742,18.005503
31,3100,0.11272377,12.014735,15.505099
32,3200,0.11305082,10.691572,13.350505
33,3300,0.11333191,9.43911,11.37983
34,3400,0.1126294,8.336044,9.68377
35,3500,0.11335754,7.3881087,8.279791
36,3600,0.113783486,6.563815,7.1718717
37,3700,0.11388288,5.8747644,6.2276087
38,3800,0.11433809,5.262007,5.4429393
39,3900,0.114207245,4.728114,4.799039
40,4000,0.11400815,4.2717476,4.268599
41,4100,0.11416735,3.8827882,3.838504
42,4200,0.11376623,3.5579362,3.4908307
43,4300,0.11395431,3.2910476,3.2098994
44,4400,0.114022724,3.0712988,2.9848187
45,4500,0.11393531,2.8892846,2.8028355
46,4600,0.113959305,2.7396133,2.6558282
47,4700,0.11397629,2.6146617,2.5380638
48,4800,0.11404244,2.5126863,2.440906
49,4900,0.113901764,2.429689,2.3622258
50,5000,0.11366181,2.3598588,2.2954087
51,5100,0.11386828,2.3012946,2.2396386
52,5200,0.11387016,2.2543886,2.1916423
