,Iteration,Loss,Proton_Entropy,Neutron_Entropy
0,0,0.9918085,1.9821796,1.9971586
1,100,0.8876198,1.9857997,1.9943894
2,200,0.769198,1.989805,1.9904542
3,300,0.6398275,1.99071,1.9875346
4,400,0.50121176,1.9902699,1.9825841
5,500,0.38476786,1.9903102,1.9766043
6,600,0.306647,1.9905261,1.9723134
7,700,0.26182154,1.9905647,1.9692645
8,800,0.23630822,1.9905878,1.9681321
9,900,0.21900955,1.990532,1.9683652
10,1000,0.20774321,1.9904788,1.9696457
11,1100,0.1985112,1.9903494,1.9709649
12,1200,0.1916147,1.9902197,1.971948
13,1300,0.18491738,1.9898938,1.9724762
14,1400,0.17870784,1.9896158,1.9723697
15,1500,0.17334054,1.9891393,1.9724524
16,1600,0.16615021,1.9886574,1.9716146
17,1700,0.1625977,1.9883546,1.9702433
18,1800,0.1589557,1.9879185,1.969271
19,1900,0.15540886,1.9874266,1.9685128
20,2000,0.15448083,1.9869521,1.9673157
21,2100,0.15295625,1.9865509,1.9659948
22,2200,0.15125102,1.9860506,1.9653873
23,2300,0.1500005,1.9856739,1.9647546
24,2400,0.14802094,1.9851261,1.9645193
25,2500,0.14620142,1.9845974,1.9650792
26,2600,0.14539644,1.9835618,1.9648613
27,2700,0.14525887,1.9825124,1.9649262
28,2800,0.14533457,1.9817616,1.9652505
29,2900,0.14584371,1.981261,1.9656748
30,3000,0.14468586,1.9805564,1.9660314
31,3100,0.14331904,1.9795636,1.9664469
32,3200,0.14316262,1.9787589,1.965989
33,3300,0.14468125,1.977968,1.9657261
34,3400,0.14567116,1.9768645,1.9661088
35,3500,0.1447139,1.9756829,1.9667661
36,3600,0.14172424,1.9743888,1.9679247
37,3700,0.14016479,1.9724805,1.9691609
38,3800,0.13858418,1.9712775,1.9704705
39,3900,0.13793002,1.9699125,1.9724048
40,4000,0.1367223,1.9679158,1.9740418
41,4100,0.13653,1.9662267,1.9757196
42,4200,0.1355895,1.9647993,1.9774686
43,4300,0.13516378,1.9631935,1.9790342
44,4400,0.1351558,1.9612613,1.9805024
45,4500,0.13360251,1.9590797,1.9819391
46,4600,0.13370469,1.9568715,1.9833342
47,4700,0.13375255,1.9546936,1.9847687
48,4800,0.13447477,1.9522746,1.9859955
49,4900,0.13498937,1.9494509,1.9867446
50,5000,0.1354421,1.9463954,1.9877635
51,5100,0.13446301,1.9434112,1.9886413
52,5200,0.13493532,1.9408652,1.9895427
53,5300,0.13518989,1.9385095,1.9904034
54,5400,0.13552566,1.9362905,1.9915497
55,5500,0.13612995,1.9338655,1.992137
56,5600,0.13673604,1.9314755,1.9927768
57,5700,0.13722861,1.9293367,1.9934183
58,5800,0.13745622,1.9276323,1.9940846
59,5900,0.13734266,1.9259007,1.9944557
60,6000,0.13874564,1.9237881,1.9947098
61,6100,0.13977815,1.9214121,1.9948299
62,6200,0.14016972,1.9190513,1.9947985
63,6300,0.13895237,1.9172395,1.9948376
64,6400,0.13817164,1.9151553,1.994506
65,6500,0.1373208,1.9131029,1.9943819
66,6600,0.13744308,1.9125568,1.994169
67,6700,0.13810779,1.9104894,1.9937818
68,6800,0.13817164,1.9086748,1.993646
69,6900,0.13854088,1.9063727,1.9939557
70,7000,0.1395752,1.9048074,1.9942704
71,7100,0.13940716,1.9036155,1.9946815
72,7200,0.13985132,1.9024982,1.9950173
73,7300,0.14011487,1.9019324,1.9953088
74,7400,0.14007807,1.9019784,1.9953789
75,7500,0.14000712,1.9015641,1.9955363
76,7600,0.13926193,1.9007287,1.995693
77,7700,0.13970175,1.8994331,1.9958608
78,7800,0.13979615,1.8989599,1.996069
79,7900,0.14033651,1.8992822,1.9963177
80,8000,0.14015235,1.899537,1.9964465
81,8100,0.13907531,1.8987008,1.9966066
82,8200,0.13936263,1.8976438,1.9966024
83,8300,0.13907558,1.8976992,1.99683
84,8400,0.13719247,1.8981968,1.996837
85,8500,0.13529123,1.8991548,1.9968667
86,8600,0.13457087,1.8989692,1.9968882
87,8700,0.13416296,1.8994726,1.9970127
88,8800,0.13482337,1.9001094,1.997156
89,8900,0.13562673,1.8999885,1.9972188
90,9000,0.13755453,1.8982902,1.9972587
91,9100,0.13937044,1.8973922,1.9973007
92,9200,0.14097805,1.897996,1.997335
93,9300,0.14134867,1.8975371,1.9972359
94,9400,0.14145081,1.8970904,1.9971949
95,9500,0.14156143,1.8966773,1.997207
96,9600,0.14142554,1.8963917,1.9971601
97,9700,0.14138892,1.8960015,1.9971187
98,9800,0.14120176,1.8955985,1.9970299
99,9900,0.14086024,1.8953444,1.9969661
100,10000,0.1406548,1.8953812,1.9969283
101,10100,0.14048691,1.8955444,1.9969001
102,10200,0.14099342,1.8956405,1.9966732
103,10300,0.14191756,1.8956048,1.9964944
104,10400,0.1419321,1.8958035,1.9964719
105,10500,0.14207654,1.8953929,1.9963659
106,10600,0.1421442,1.8948991,1.996314
107,10700,0.14225957,1.8940325,1.9961394
108,10800,0.14150508,1.8944535,1.9959756
109,10900,0.1410019,1.8951957,1.9961572
110,11000,0.14025652,1.8957216,1.9960902
111,11100,0.13989133,1.8956026,1.9960264
112,11200,0.13942909,1.8960308,1.9960591
113,11300,0.13890535,1.8957096,1.9960536
114,11400,0.13633484,1.8949771,1.9959112
115,11500,0.12355442,1.8956937,1.9958982
116,11600,0.12200011,1.8965138,1.9955994
117,11700,0.121273495,1.897404,1.995675
118,11800,0.121144906,1.897683,1.9956387
119,11900,0.121071145,1.8982828,1.9956651
120,12000,0.121198036,1.8985704,1.9956865
121,12100,0.12103666,1.8987978,1.995635
122,12200,0.121956624,1.8988854,1.9955895
123,12300,0.12101201,1.8991836,1.9958119
124,12400,0.12000442,1.8994565,1.9959835
125,12500,0.11988372,1.8996952,1.9960432
126,12600,0.11955667,1.9002653,1.9960916
127,12700,0.11948755,1.9006019,1.99611
128,12800,0.11942845,1.9009655,1.996109
129,12900,0.11929636,1.901387,1.9961628
130,13000,0.11919013,1.9014959,1.996148
131,13100,0.119054325,1.9016621,1.9961252
132,13200,0.118476465,1.901127,1.9961648
133,13300,0.117966264,1.9006675,1.9961915
134,13400,0.118194796,1.9011216,1.9961778
135,13500,0.11815551,1.9021683,1.996277
136,13600,0.11828599,1.9028388,1.9963362
137,13700,0.11656638,1.9030573,1.9964086
138,13800,0.11667488,1.9031644,1.9964495
139,13900,0.11683155,1.9033259,1.996449
140,14000,0.11689441,1.9035442,1.9964074
141,14100,0.116896994,1.9036053,1.9963878
142,14200,0.1169056,1.9035984,1.9963496
143,14300,0.116849124,1.9036381,1.9963341
144,14400,0.11677178,1.9035373,1.9963
145,14500,0.11734901,1.9030296,1.9963089
146,14600,0.11753175,1.9026682,1.9963167
147,14700,0.117605776,1.9026268,1.9963475
148,14800,0.11739342,1.9024413,1.9963504
149,14900,0.117396235,1.9022735,1.9963359
150,15000,0.11741924,1.9020396,1.9963092
151,15100,0.11743548,1.9019156,1.9962715
152,15200,0.11732667,1.9018375,1.9962468
153,15300,0.1173885,1.901846,1.9962318
154,15400,0.11746718,1.901858,1.9961991
155,15500,0.11754521,1.9018728,1.9961834
156,15600,0.11754849,1.9018935,1.9961499
157,15700,0.11759843,1.9018718,1.9961196
158,15800,0.11765826,1.9018732,1.9960843
159,15900,0.11751296,1.9015614,1.996054
160,16000,0.11764688,1.9016784,1.9960252
161,16100,0.11764098,1.9016247,1.9960053
162,16200,0.117534034,1.9015558,1.9959798
163,16300,0.11746758,1.901562,1.9959615
164,16400,0.117446765,1.9015236,1.9959443
165,16500,0.11734089,1.9014068,1.995949
166,16600,0.11731125,1.9011875,1.9960144
167,16700,0.11740295,1.9010911,1.9960455
168,16800,0.11739304,1.9009778,1.9961022
169,16900,0.11658683,1.9013474,1.9962184
170,17000,0.11666621,1.9012523,1.9961839
171,17100,0.11763004,1.9008632,1.9960926
172,17200,0.11808713,1.9008448,1.9960724
173,17300,0.118315026,1.9007145,1.9960892
174,17400,0.11836726,1.9005622,1.9960794
175,17500,0.11858582,1.8997086,1.9960548
176,17600,0.11854129,1.8986702,1.9960608
177,17700,0.119583875,1.898602,1.9964176
178,17800,0.11927993,1.89856,1.9966102
179,17900,0.118824326,1.8984233,1.9966882
180,18000,0.117930435,1.8988419,1.9967253
181,18100,0.11798193,1.8990632,1.9966887
182,18200,0.118102044,1.899364,1.9966714
183,18300,0.11808156,1.8995323,1.9966736
184,18400,0.118700415,1.8995107,1.9967084
185,18500,0.119228534,1.8992453,1.996758
186,18600,0.119257644,1.8991016,1.9967091
187,18700,0.11893431,1.8986795,1.9966128
188,18800,0.12003616,1.8985932,1.9965332
189,18900,0.12003648,1.8985234,1.9965069
190,19000,0.119930334,1.8988159,1.9965241
191,19100,0.119831935,1.8991742,1.9965659
