n,z,excess
1,0,8071.31713
0,1,7288.97061
1,1,13135.72176
2,1,14949.80993
1,2,14931.21793
3,1,24621.127
2,2,2424.91561
1,3,25323.189
4,1,32892.444
3,2,11231.233
2,3,11678.886
5,1,41875.721
4,2,17592.095
3,3,14086.87895
2,4,18375.033
5,2,26073.126
4,3,14907.10529
3,4,15768.999
2,5,27676.550
6,2,31609.681
5,3,20945.804
4,4,4941.671
3,5,22921.567
2,6,35064.268
7,2,40935.826
6,3,24954.902
5,4,11348.453
4,5,12416.488
3,6,28910.972
8,2,49197.143
7,3,33052.624
6,4,12607.488
5,5,12050.609
4,6,15698.672
3,7,38800.026
8,3,40728.254
7,4,20177.167
6,5,8667.707
5,6,10649.396
4,7,24303.559
9,3,49009.571
8,4,25077.760
7,5,13369.397
6,6,0.0
5,7,17338.068
4,8,31914.613
10,3,56980.888
9,4,33659.077
8,5,16561.947
7,6,3125.00888
6,7,5345.481
5,8,23115.432
10,4,39954.498
9,5,23663.685
8,6,3019.89278
7,7,2863.41672
6,8,8007.781
5,9,31964.402
11,4,49825.815
10,5,28958.242
9,6,9873.144
8,7,101.43871
7,8,2855.605
6,9,16566.751
5,10,40215.373
12,4,57447.132
11,5,37112.510
10,6,13694.132
9,7,5683.907
8,8,-4737.00135
7,9,10680.253
6,10,23986.776
12,5,43716.317
11,6,21031.898
10,7,7870.079
9,8,-808.76348
8,9,1951.702
7,10,16500.447
6,11,35173.214
13,5,51792.634
12,6,24919.264
11,7,13113.168
10,8,-782.81560
9,9,873.113
8,10,5317.614
7,11,25037.988
14,5,59770.244
13,6,32413.752
12,7,15856.282
11,8,3332.858
10,9,-1487.44420
9,10,1752.050
8,11,12929.390
7,12,31828.389
14,6,37503.563
13,7,21766.496
12,8,3796.172
11,9,-17.463
10,10,-7041.93055
9,11,6850.604
8,12,17477.692
14,7,25231.913
13,8,8062.035
12,9,-47.605
11,10,-5731.776
10,11,-2184.631
9,12,10903.850
16,6,53611.197
15,7,31764.801
14,8,9283.033
13,9,2793.373
12,10,-8024.719
11,11,-5181.511
10,12,-399.933
16,7,36720.425
15,8,14621.369
14,9,3285.263
13,10,-5154.049
12,11,-9529.85248
11,12,-5473.513
10,13,6748.070
16,8,18500.402
15,9,7544.515
14,10,-5951.646
13,11,-8417.901
12,12,-13933.569
11,13,-48.865
10,14,10745.195
17,8,27329.027
16,9,11334.166
15,10,-2035.502
14,11,-9357.813
13,12,-13192.783
12,13,-8915.975
11,14,3827.324
18,8,34661.037
17,9,18648.875
16,10,481.114
15,11,-6860.780
14,12,-16214.542
13,13,-12210.151
12,14,-7141.015
18,9,25450.279
17,10,7050.909
16,11,-5517.790
15,12,-14586.611
14,13,-17196.861
13,14,-12384.503
12,15,-722.458
19,9,33741.596
18,10,11299.737
17,11,-988.315
16,12,-15018.845
15,13,-16850.645
14,14,-21492.79430
13,15,-7147.740
12,16,4073.206
20,9,40150.186
19,10,18399.801
18,11,2679.994
17,12,-10602.829
16,13,-18207.760
15,14,-21895.07838
14,15,-16952.848
13,16,-3156.416
12,17,13162.176
20,10,23280.117
19,11,8474.670
18,12,-8883.820
17,13,-15864.844
16,14,-24432.960
15,15,-20200.854
14,16,-14059.253
12,18,20931.147
21,10,31181.591
20,11,12246.031
19,12,-3122.151
18,13,-14950.706
17,14,-22949.036
16,15,-24440.54095
15,16,-19042.525
14,17,-7034.551
21,11,18640.151
20,12,-828.900
19,13,-11099.367
18,14,-24077.686
17,15,-24304.874
16,16,-26015.53355
15,17,-13334.674
14,18,-2200.351
22,11,23780.110
21,12,4962.297
20,13,-8497.380
19,14,-20514.325
18,15,-26337.346
17,16,-26585.85434
16,17,-21003.337
15,18,-9384.292
23,11,31680.111
22,12,8323.348
21,13,-3000.289
20,14,-19956.852
19,15,-24548.698
18,16,-29931.685
17,17,-24440.082
16,18,-18378.290
23,12,15639.784
22,13,-223.728
21,14,-14391.457
20,15,-24857.799
19,16,-28846.206
18,17,-29013.528
17,18,-23047.284
16,19,-11172.891
24,12,20380.157
23,13,5950.384
22,14,-12436.124
21,15,-20251.034
20,16,-30664.131
19,17,-29522.005
18,18,-30231.540
17,19,-17417.065
16,20,-6451.149
25,12,28211.474
24,13,9809.563
23,14,-6571.511
22,15,-18995.998
21,16,-26896.417
20,17,-31761.538
19,18,-30947.664
18,19,-24800.199
17,20,-13136.066
25,13,16209.859
24,14,-4170.299
23,15,-14621.563
22,16,-26861.203
21,17,-29798.103
20,18,-34714.821
19,19,-28800.755
18,20,-22058.499
25,14,2320.352
24,15,-12774.634
23,16,-23162.667
22,17,-29800.205
21,18,-33242.190
20,19,-33807.19010
19,20,-27282.702
18,21,-14172.709
26,14,5429.679
25,15,-8114.370
24,16,-22837.846
23,17,-27557.813
22,18,-35039.89464
21,19,-33535.492
20,20,-34846.384
19,21,-20523.335
18,22,-8850.384
27,14,12119.668
26,15,-4979.767
25,16,-19008.577
24,17,-27307.189
23,18,-33067.505
22,19,-35559.54331
21,20,-35137.890
20,21,-28642.412
19,22,-15697.537
27,15,1009.740
26,16,-17637.746
25,17,-24831.767
24,18,-34422.675
23,19,-35022.026
22,20,-38547.245
21,21,-32121.153
20,22,-25104.674
28,15,4679.826
27,16,-12195.459
26,17,-24159.508
25,18,-32009.808
24,19,-36575.389
23,20,-38408.822
22,21,-36188.102
21,22,-29321.082
20,23,-17916.356
28,16,-9204.233
27,17,-20384.523
26,18,-32673.255
25,19,-35781.492
24,20,-41468.675
23,21,-37815.985
22,22,-37548.569
21,23,-24116.380
29,16,-3989.589
28,17,-18262.543
27,18,-29770.796
26,19,-36615.638
25,20,-40812.174
24,21,-41071.896
23,22,-39009.840
22,23,-31886.016
21,24,-19514.799
29,17,-13859.398
28,18,-29772.926
27,19,-35413.924
26,20,-43139.361
25,21,-41761.219
24,22,-44127.799
23,23,-37075.351
22,24,-29471.567
29,18,-25366.338
28,19,-35711.976
27,20,-42344.418
26,21,-44336.595
25,22,-44937.364
24,23,-42006.618
23,24,-34562.578
22,25,-22566.374
30,18,-22281.337
29,19,-32284.477
28,20,-44224.629
27,21,-44503.842
26,22,-48492.709
25,23,-44477.694
24,24,-42822.020
23,25,-29296.338
30,19,-29611.490
29,20,-41299.765
28,21,-46561.265
27,22,-48563.787
26,23,-47961.931
25,24,-45333.060
24,25,-37620.634
23,26,-24750.727
31,19,-25727.848
30,20,-39589.224
29,21,-44547.382
28,22,-51431.660
27,23,-49224.013
26,24,-50262.072
25,25,-42627.595
24,26,-34476.456
