,title,seed,test_size,epochs,test_apb_acc,test_amb_acc,test_acc,train_acc
0,BasicModelSmall_256dim_0.05ts_1seed_both,1,0.05,19999,1.0,1.0,1.0,1.0
1,BasicModelSmall_256dim_0.05ts_2seed_both,2,0.05,19999,1.0,1.0,1.0,1.0
2,BasicModelSmall_256dim_0.05ts_3seed_both,3,0.05,19999,1.0,1.0,1.0,1.0
3,BasicModelSmall_256dim_0.1ts_4seed_both,4,0.1,19999,1.0,1.0,1.0,1.0
4,BasicModelSmall_256dim_0.1ts_5seed_both,5,0.1,19999,1.0,1.0,1.0,1.0
5,BasicModelSmall_256dim_0.1ts_6seed_both,6,0.1,19999,1.0,1.0,1.0,1.0
6,BasicModelSmall_256dim_0.15ts_7seed_both,7,0.15,19999,1.0,1.0,1.0,1.0
7,BasicModelSmall_256dim_0.15ts_8seed_both,8,0.15,19999,1.0,1.0,1.0,1.0
8,BasicModelSmall_256dim_0.15ts_9seed_both,9,0.15,19999,1.0,1.0,1.0,1.0
9,BasicModelSmall_256dim_0.2ts_10seed_both,10,0.2,19999,1.0,1.0,1.0,1.0
10,BasicModelSmall_256dim_0.2ts_11seed_both,11,0.2,19999,1.0,1.0,1.0,1.0
11,BasicModelSmall_256dim_0.2ts_12seed_both,12,0.2,19999,1.0,1.0,1.0,1.0
12,BasicModelSmall_256dim_0.25ts_13seed_both,13,0.25,19999,1.0,1.0,1.0,1.0
13,BasicModelSmall_256dim_0.25ts_14seed_both,14,0.25,19999,1.0,1.0,1.0,1.0
14,BasicModelSmall_256dim_0.25ts_15seed_both,15,0.25,19999,1.0,1.0,1.0,1.0
15,BasicModelSmall_256dim_0.3ts_16seed_both,16,0.3,19999,1.0,1.0,1.0,0.9999999403953552
16,BasicModelSmall_256dim_0.3ts_17seed_both,17,0.3,19999,0.9999999403953552,0.9999999403953552,0.9999999403953552,1.0
17,BasicModelSmall_256dim_0.3ts_18seed_both,18,0.3,19999,0.9999999403953552,0.9999999403953552,0.9999999403953552,1.0
18,BasicModelSmall_256dim_0.35ts_19seed_both,19,0.35,19999,1.0,1.0,1.0,0.9999999403953552
19,BasicModelSmall_256dim_0.35ts_20seed_both,20,0.35,19999,0.9999999403953552,0.9999999403953552,0.9999999403953552,1.0
20,BasicModelSmall_256dim_0.35ts_21seed_both,21,0.35,19999,1.0,1.0,1.0,1.0
21,BasicModelSmall_256dim_0.4ts_22seed_both,22,0.4,19999,1.0,1.0,1.0,1.0
22,BasicModelSmall_256dim_0.4ts_23seed_both,23,0.4,19999,1.0,1.0,1.0,1.0
23,BasicModelSmall_256dim_0.4ts_24seed_both,24,0.4,19999,1.0,1.0,1.0,0.9999999403953552
24,BasicModelSmall_256dim_0.45ts_25seed_both,25,0.45,19999,1.0,1.0,1.0,1.0
25,BasicModelSmall_256dim_0.45ts_26seed_both,26,0.45,19999,1.0,1.0,1.0,1.0
26,BasicModelSmall_256dim_0.45ts_27seed_both,27,0.45,19999,1.0,1.0,1.0,1.0
27,BasicModelSmall_256dim_0.5ts_28seed_both,28,0.5,19999,1.0,1.0,1.0,1.0
28,BasicModelSmall_256dim_0.5ts_29seed_both,29,0.5,19999,1.0,1.0,1.0,1.0
29,BasicModelSmall_256dim_0.5ts_30seed_both,30,0.5,19999,1.0,1.0,1.0,1.0
30,BasicModelSmall_256dim_0.55ts_31seed_both,31,0.55,19999,1.0,1.0,1.0,1.0
31,BasicModelSmall_256dim_0.55ts_32seed_both,32,0.55,19999,0.999354898929596,1.0,0.9996774792671204,1.0
32,BasicModelSmall_256dim_0.55ts_33seed_both,33,0.55,19999,1.0,1.0,1.0,1.0
33,BasicModelSmall_256dim_0.6ts_34seed_both,34,0.6,19999,0.9999999403953552,0.9999999403953552,0.9999999403953552,1.0
