,title,seed,test_size,epochs,test_acc,train_acc
0,BasicModelSmall_256dim_0.01ts_1seed_both,1,0.01,9999,1.0,1.0
1,BasicModelSmall_256dim_0.02ts_2seed_both,2,0.02,9999,1.0,1.0
2,BasicModelSmall_256dim_0.03ts_3seed_both,3,0.03,9999,1.0,1.0
3,BasicModelSmall_256dim_0.04ts_4seed_both,4,0.04,9999,1.0,1.0
4,BasicModelSmall_256dim_0.05ts_5seed_both,5,0.05,9999,1.0,1.0
5,BasicModelSmall_256dim_0.06ts_6seed_both,6,0.06,9999,1.0,1.0
6,BasicModelSmall_256dim_0.07ts_7seed_both,7,0.07,9999,1.0,1.0
7,BasicModelSmall_256dim_0.08ts_8seed_both,8,0.08,9999,1.0,1.0
8,BasicModelSmall_256dim_0.09ts_9seed_both,9,0.09,9999,1.0,1.0
9,BasicModelSmall_256dim_0.1ts_10seed_both,10,0.1,9999,1.0,0.9999999403953552
10,BasicModelSmall_256dim_0.11ts_11seed_both,11,0.11,9999,1.0,1.0
11,BasicModelSmall_256dim_0.12ts_12seed_both,12,0.12,9999,1.0,1.0
12,BasicModelSmall_256dim_0.13ts_13seed_both,13,0.13,9999,1.0,1.0
13,BasicModelSmall_256dim_0.14ts_14seed_both,14,0.14,9999,1.0,1.0
14,BasicModelSmall_256dim_0.15ts_15seed_both,15,0.15,9999,1.0,1.0
15,BasicModelSmall_256dim_0.16ts_16seed_both,16,0.16,9999,1.0,1.0
16,BasicModelSmall_256dim_0.17ts_17seed_both,17,0.17,9999,1.0,0.9999999403953552
17,BasicModelSmall_256dim_0.18ts_18seed_both,18,0.18,9999,1.0,1.0
18,BasicModelSmall_256dim_0.19ts_19seed_both,19,0.19,9999,1.0,1.0
19,BasicModelSmall_256dim_0.2ts_20seed_both,20,0.2,9999,1.0,1.0
20,BasicModelSmall_256dim_0.21ts_21seed_both,21,0.21,9999,1.0,1.0
21,BasicModelSmall_256dim_0.22ts_22seed_both,22,0.22,9999,1.0,1.0
22,BasicModelSmall_256dim_0.23ts_23seed_both,23,0.23,9999,1.0,1.0
23,BasicModelSmall_256dim_0.24ts_24seed_both,24,0.24,9999,1.0,1.0
24,BasicModelSmall_256dim_0.25ts_25seed_both,25,0.25,9999,1.0,1.0
25,BasicModelSmall_256dim_0.26ts_26seed_both,26,0.26,9999,1.0,1.0
