,title,seed,test_size,epochs,test_acc,train_acc
0,BasicModelSmall_256dim_0.7ts_1seed_combined,1,0.7,9999,0.9645569920539856,1.0
1,BasicModelSmall_256dim_0.71ts_2seed_combined,2,0.71,9999,0.9675822854042053,1.0
2,BasicModelSmall_256dim_0.72ts_3seed_combined,3,0.72,9999,0.9536020159721375,1.0
3,BasicModelSmall_256dim_0.73ts_4seed_combined,4,0.73,9999,0.9206854701042175,1.0
4,BasicModelSmall_256dim_0.74ts_5seed_combined,5,0.74,9999,0.9454718232154846,1.0
5,BasicModelSmall_256dim_0.75ts_6seed_combined,6,0.75,9999,0.9615663290023804,1.0
6,BasicModelSmall_256dim_0.76ts_7seed_combined,7,0.76,9999,0.9511037468910217,1.0
7,BasicModelSmall_256dim_0.77ts_8seed_combined,8,0.77,9999,0.9209790229797363,0.9999999403953552
8,BasicModelSmall_256dim_0.78ts_9seed_combined,9,0.78,9999,0.8437005281448364,1.0
9,BasicModelSmall_256dim_0.79ts_10seed_combined,10,0.79,9999,0.8238866925239563,0.9999999403953552
10,BasicModelSmall_256dim_0.8ts_11seed_combined,11,0.8,9999,0.8338922262191772,1.0
11,BasicModelSmall_256dim_0.81ts_12seed_combined,12,0.81,9999,0.7626898288726807,1.0
12,BasicModelSmall_256dim_0.82ts_13seed_combined,13,0.82,9999,0.6137750744819641,1.0
13,BasicModelSmall_256dim_0.83ts_14seed_combined,14,0.83,9999,0.5979403853416443,1.0
14,BasicModelSmall_256dim_0.84ts_15seed_combined,15,0.84,9999,0.06941523402929306,1.0
15,BasicModelSmall_256dim_0.85ts_16seed_combined,16,0.85,9999,0.0006246095872484148,1.0
16,BasicModelSmall_256dim_0.86ts_17seed_combined,17,0.86,9999,0.005387484095990658,1.0
17,BasicModelSmall_256dim_0.87ts_18seed_combined,18,0.87,9999,0.000204123294679448,1.0
18,BasicModelSmall_256dim_0.88ts_19seed_combined,19,0.88,9999,0.001624365453608334,1.0
19,BasicModelSmall_256dim_0.89ts_20seed_combined,20,0.89,9999,0.0014101531123742461,1.0
20,BasicModelSmall_256dim_0.9ts_21seed_combined,21,0.9,9999,0.0007905138190835714,1.0
21,BasicModelSmall_256dim_0.91ts_22seed_combined,22,0.91,9999,0.0021371671464294195,1.0
22,BasicModelSmall_256dim_0.92ts_23seed_combined,23,0.92,9999,0.0017367810942232609,0.9999999403953552
23,BasicModelSmall_256dim_0.93ts_24seed_combined,24,0.93,9999,0.002095238072797656,1.0
24,BasicModelSmall_256dim_0.94ts_25seed_combined,25,0.94,9999,0.002088872017338872,1.0
25,BasicModelSmall_256dim_0.95ts_26seed_combined,26,0.95,9999,0.0016841317992657423,1.0
26,BasicModelSmall_256dim_0.7ts_27seed_combined,27,0.7,9999,0.9918596148490906,1.0
27,BasicModelSmall_256dim_0.71ts_28seed_combined,28,0.71,9999,0.9291063547134399,1.0
28,BasicModelSmall_256dim_0.72ts_29seed_combined,29,0.72,9999,0.9819261431694031,1.0
29,BasicModelSmall_256dim_0.73ts_30seed_combined,30,0.73,9999,0.9727540016174316,1.0
30,BasicModelSmall_256dim_0.74ts_31seed_combined,31,0.74,9999,0.9596989750862122,1.0
31,BasicModelSmall_256dim_0.75ts_32seed_combined,32,0.75,9999,0.9379881620407104,1.0
32,BasicModelSmall_256dim_0.76ts_33seed_combined,33,0.76,9999,0.8990825414657593,1.0
33,BasicModelSmall_256dim_0.77ts_34seed_combined,34,0.77,9999,0.9279758930206299,1.0
34,BasicModelSmall_256dim_0.78ts_35seed_combined,35,0.78,9999,0.9201170206069946,1.0
35,BasicModelSmall_256dim_0.79ts_36seed_combined,36,0.79,9999,0.8603867292404175,1.0
36,BasicModelSmall_256dim_0.8ts_37seed_combined,37,0.8,9999,0.8131358027458191,1.0
37,BasicModelSmall_256dim_0.81ts_38seed_combined,38,0.81,9999,0.7466960549354553,1.0
38,BasicModelSmall_256dim_0.82ts_39seed_combined,39,0.82,9999,0.6838235259056091,0.9999999403953552
39,BasicModelSmall_256dim_0.83ts_40seed_combined,40,0.83,9999,0.6467449069023132,0.9999999403953552
40,BasicModelSmall_256dim_0.84ts_41seed_combined,41,0.84,9999,0.5428208708763123,1.0
41,BasicModelSmall_256dim_0.85ts_42seed_combined,42,0.85,9999,0.6252618432044983,1.0
42,BasicModelSmall_256dim_0.86ts_43seed_combined,43,0.86,9999,0.0008230452658608556,1.0
43,BasicModelSmall_256dim_0.87ts_44seed_combined,44,0.87,9999,0.0010241704294458032,1.0
44,BasicModelSmall_256dim_0.88ts_45seed_combined,45,0.88,9999,0.0006077795987948775,1.0
45,BasicModelSmall_256dim_0.89ts_46seed_combined,46,0.89,9999,0.0012070005759596825,0.9999999403953552
46,BasicModelSmall_256dim_0.9ts_47seed_combined,47,0.9,9999,0.0013795820996165276,1.0
47,BasicModelSmall_256dim_0.91ts_48seed_combined,48,0.91,9999,0.0013714733067899942,1.0
48,BasicModelSmall_256dim_0.92ts_49seed_combined,49,0.92,9999,0.0025145066902041435,1.0
49,BasicModelSmall_256dim_0.93ts_50seed_combined,50,0.93,9999,0.002657555043697357,1.0
50,BasicModelSmall_256dim_0.94ts_51seed_combined,51,0.94,9999,0.002269718097522855,1.0
51,BasicModelSmall_256dim_0.95ts_52seed_combined,52,0.95,9999,0.0014892033068463206,0.9999999403953552
52,BasicModelSmall_256dim_0.7ts_53seed_combined,53,0.7,9999,0.9932109117507935,0.9999999403953552
53,BasicModelSmall_256dim_0.71ts_54seed_combined,54,0.71,9999,0.9618090391159058,1.0
54,BasicModelSmall_256dim_0.72ts_55seed_combined,55,0.72,9999,0.9587324261665344,1.0
55,BasicModelSmall_256dim_0.73ts_56seed_combined,56,0.73,9999,0.9829849600791931,0.9999999403953552
56,BasicModelSmall_256dim_0.74ts_57seed_combined,57,0.74,9999,0.9650315642356873,1.0
57,BasicModelSmall_256dim_0.75ts_58seed_combined,58,0.75,9999,0.9439229965209961,0.9999999403953552
58,BasicModelSmall_256dim_0.76ts_59seed_combined,59,0.76,9999,0.942280650138855,1.0
59,BasicModelSmall_256dim_0.77ts_60seed_combined,60,0.77,9999,0.9042651653289795,1.0
60,BasicModelSmall_256dim_0.78ts_61seed_combined,61,0.78,9999,0.8798253536224365,1.0
61,BasicModelSmall_256dim_0.79ts_62seed_combined,62,0.79,9999,0.8571109175682068,1.0
62,BasicModelSmall_256dim_0.8ts_63seed_combined,63,0.8,9999,0.8170459270477295,1.0
63,BasicModelSmall_256dim_0.81ts_64seed_combined,64,0.81,9999,0.7768793702125549,1.0
64,BasicModelSmall_256dim_0.82ts_65seed_combined,65,0.82,9999,0.729193925857544,1.0
65,BasicModelSmall_256dim_0.83ts_66seed_combined,66,0.83,9999,0.5109161138534546,1.0
66,BasicModelSmall_256dim_0.84ts_67seed_combined,67,0.84,9999,0.5340092778205872,1.0
67,BasicModelSmall_256dim_0.85ts_68seed_combined,68,0.85,9999,0.6258417367935181,1.0
68,BasicModelSmall_256dim_0.86ts_69seed_combined,69,0.86,9999,0.0004116073250770569,1.0
69,BasicModelSmall_256dim_0.87ts_70seed_combined,70,0.87,9999,0.0010189525783061981,1.0
70,BasicModelSmall_256dim_0.88ts_71seed_combined,71,0.88,9999,0.0010111223673447967,1.0
71,BasicModelSmall_256dim_0.89ts_72seed_combined,72,0.89,9999,0.0008027292788028717,1.0
72,BasicModelSmall_256dim_0.9ts_73seed_combined,73,0.9,9999,0.00039832701440900564,1.0
73,BasicModelSmall_256dim_0.91ts_74seed_combined,74,0.91,9999,0.0007844675565138459,1.0
74,BasicModelSmall_256dim_0.92ts_75seed_combined,75,0.92,9999,0.00214091083034873,1.0
75,BasicModelSmall_256dim_0.93ts_76seed_combined,76,0.93,9999,0.0019182811956852674,1.0
76,BasicModelSmall_256dim_0.94ts_77seed_combined,77,0.94,9999,0.0022792022209614515,1.0
77,BasicModelSmall_256dim_0.95ts_78seed_combined,78,0.95,9999,0.002073124749585986,1.0
