,title,seed,test_size,train_acc,test_acc,epochs
0,BasicModelSmall_256dim_0.05ts_1seed_only,1,0.05,1.0,0.9999999403953552,52
1,BasicModelSmall_256dim_0.1ts_2seed_only,2,0.1,1.0,1.0,75
2,BasicModelSmall_256dim_0.15ts_3seed_only,3,0.15,1.0,1.0,75
3,BasicModelSmall_256dim_0.2ts_4seed_only,4,0.2,1.0,1.0,79
4,BasicModelSmall_256dim_0.25ts_5seed_only,5,0.25,1.0,1.0,100
5,BasicModelSmall_256dim_0.3ts_6seed_only,6,0.3,1.0,1.0,118
6,BasicModelSmall_256dim_0.35ts_7seed_only,7,0.35,1.0,0.9999999403953552,131
7,BasicModelSmall_256dim_0.4ts_8seed_only,8,0.4,1.0,1.0,151
8,BasicModelSmall_256dim_0.45ts_9seed_only,9,0.45,1.0,1.0,191
9,BasicModelSmall_256dim_0.5ts_10seed_only,10,0.5,1.0,1.0,282
10,BasicModelSmall_256dim_0.55ts_11seed_only,11,0.55,1.0,0.9961164593696594,9999
11,BasicModelSmall_256dim_0.6ts_12seed_only,12,0.6,1.0,1.0,369
12,BasicModelSmall_256dim_0.65ts_13seed_only,13,0.65,1.0,0.9978094696998596,9999
13,BasicModelSmall_256dim_0.7ts_14seed_only,14,0.7,1.0,0.9720386266708374,9999
14,BasicModelSmall_256dim_0.75ts_15seed_only,15,0.75,1.0,0.7826293110847473,9999
15,BasicModelSmall_256dim_0.8ts_16seed_only,16,0.8,1.0,0.0,9999
16,BasicModelSmall_256dim_0.85ts_17seed_only,17,0.85,1.0,0.0004187604645267129,9999
17,BasicModelSmall_256dim_0.9ts_18seed_only,18,0.9,1.0,0.0,9999
18,BasicModelSmall_256dim_0.95ts_19seed_only,19,0.95,1.0,0.002622704952955246,9999
19,BasicModelSmall_256dim_0.05ts_20seed_only,20,0.05,1.0,0.9999999403953552,58
20,BasicModelSmall_256dim_0.1ts_21seed_only,21,0.1,1.0,1.0,67
21,BasicModelSmall_256dim_0.15ts_22seed_only,22,0.15,1.0,1.0,79
22,BasicModelSmall_256dim_0.2ts_23seed_only,23,0.2,1.0,1.0,84
23,BasicModelSmall_256dim_0.25ts_24seed_only,24,0.25,1.0,1.0,124
24,BasicModelSmall_256dim_0.3ts_25seed_only,25,0.3,1.0,1.0,101
25,BasicModelSmall_256dim_0.35ts_26seed_only,26,0.35,1.0,0.9999999403953552,132
26,BasicModelSmall_256dim_0.4ts_27seed_only,27,0.4,1.0,1.0,163
27,BasicModelSmall_256dim_0.45ts_28seed_only,28,0.45,1.0,1.0,232
28,BasicModelSmall_256dim_0.5ts_29seed_only,29,0.5,1.0,1.0,229
29,BasicModelSmall_256dim_0.55ts_30seed_only,30,0.55,1.0,0.9999999403953552,317
30,BasicModelSmall_256dim_0.6ts_31seed_only,31,0.6,1.0,1.0,369
31,BasicModelSmall_256dim_0.65ts_32seed_only,32,0.65,1.0,0.996714174747467,9999
32,BasicModelSmall_256dim_0.7ts_33seed_only,33,0.7,1.0,0.9354346394538879,9999
33,BasicModelSmall_256dim_0.75ts_34seed_only,34,0.75,1.0,0.9269102811813354,9999
34,BasicModelSmall_256dim_0.8ts_35seed_only,35,0.8,1.0,0.08185053616762161,9999
35,BasicModelSmall_256dim_0.85ts_36seed_only,36,0.85,1.0,0.0,9999
36,BasicModelSmall_256dim_0.9ts_37seed_only,37,0.9,1.0,0.0015816527884453535,9999
37,BasicModelSmall_256dim_0.95ts_38seed_only,38,0.95,1.0,0.0022480329498648643,9999
38,BasicModelSmall_256dim_0.05ts_39seed_only,39,0.05,1.0,0.9999999403953552,56
39,BasicModelSmall_256dim_0.1ts_40seed_only,40,0.1,1.0,1.0,65
40,BasicModelSmall_256dim_0.15ts_41seed_only,41,0.15,1.0,1.0,78
41,BasicModelSmall_256dim_0.2ts_42seed_only,42,0.2,1.0,1.0,92
42,BasicModelSmall_256dim_0.25ts_43seed_only,43,0.25,1.0,1.0,82
43,BasicModelSmall_256dim_0.3ts_44seed_only,44,0.3,1.0,1.0,109
44,BasicModelSmall_256dim_0.35ts_45seed_only,45,0.35,1.0,0.9999999403953552,135
45,BasicModelSmall_256dim_0.4ts_46seed_only,46,0.4,1.0,1.0,145
46,BasicModelSmall_256dim_0.45ts_47seed_only,47,0.45,1.0,1.0,165
47,BasicModelSmall_256dim_0.5ts_48seed_only,48,0.5,1.0,1.0,228
48,BasicModelSmall_256dim_0.55ts_49seed_only,49,0.55,1.0,0.9999999403953552,311
49,BasicModelSmall_256dim_0.6ts_50seed_only,50,0.6,1.0,1.0,785
50,BasicModelSmall_256dim_0.65ts_51seed_only,51,0.65,1.0,0.9972618222236633,9999
51,BasicModelSmall_256dim_0.7ts_52seed_only,52,0.7,1.0,0.9389933347702026,9999
52,BasicModelSmall_256dim_0.75ts_53seed_only,53,0.75,1.0,0.8400569558143616,9999
53,BasicModelSmall_256dim_0.8ts_54seed_only,54,0.8,1.0,0.7406583428382874,9999
54,BasicModelSmall_256dim_0.85ts_55seed_only,55,0.85,1.0,0.0,9999
55,BasicModelSmall_256dim_0.9ts_56seed_only,56,0.9,1.0,0.0007908263942226768,9999
56,BasicModelSmall_256dim_0.95ts_57seed_only,57,0.95,1.0,0.00412139343097806,9999
