,title,seed,test_size,train_acc,test_acc,epochs
0,BasicModelSmall_256dim_0.05ts_1seed_only,1,0.05,1.0,0.9999999403953552,52
1,BasicModelSmall_256dim_0.05ts_2seed_only,2,0.05,1.0,0.9999999403953552,60
2,BasicModelSmall_256dim_0.05ts_3seed_only,3,0.05,1.0,0.9999999403953552,58
3,BasicModelSmall_256dim_0.1ts_4seed_only,4,0.1,1.0,1.0,59
4,BasicModelSmall_256dim_0.1ts_5seed_only,5,0.1,1.0,1.0,81
5,BasicModelSmall_256dim_0.1ts_6seed_only,6,0.1,1.0,1.0,57
6,BasicModelSmall_256dim_0.15ts_7seed_only,7,0.15,1.0,1.0,73
7,BasicModelSmall_256dim_0.15ts_8seed_only,8,0.15,1.0,1.0,71
8,BasicModelSmall_256dim_0.15ts_9seed_only,9,0.15,1.0,1.0,77
9,BasicModelSmall_256dim_0.2ts_10seed_only,10,0.2,1.0,1.0,76
10,BasicModelSmall_256dim_0.2ts_11seed_only,11,0.2,1.0,1.0,93
11,BasicModelSmall_256dim_0.2ts_12seed_only,12,0.2,1.0,1.0,91
12,BasicModelSmall_256dim_0.25ts_13seed_only,13,0.25,1.0,1.0,96
13,BasicModelSmall_256dim_0.25ts_14seed_only,14,0.25,1.0,1.0,98
14,BasicModelSmall_256dim_0.25ts_15seed_only,15,0.25,1.0,1.0,104
15,BasicModelSmall_256dim_0.3ts_16seed_only,16,0.3,1.0,1.0,111
16,BasicModelSmall_256dim_0.3ts_17seed_only,17,0.3,1.0,1.0,140
17,BasicModelSmall_256dim_0.3ts_18seed_only,18,0.3,1.0,1.0,100
18,BasicModelSmall_256dim_0.35ts_19seed_only,19,0.35,1.0,0.9999999403953552,129
19,BasicModelSmall_256dim_0.35ts_20seed_only,20,0.35,1.0,0.9999999403953552,160
20,BasicModelSmall_256dim_0.35ts_21seed_only,21,0.35,1.0,0.9999999403953552,153
21,BasicModelSmall_256dim_0.4ts_22seed_only,22,0.4,1.0,1.0,168
22,BasicModelSmall_256dim_0.4ts_23seed_only,23,0.4,1.0,1.0,171
23,BasicModelSmall_256dim_0.4ts_24seed_only,24,0.4,1.0,1.0,167
24,BasicModelSmall_256dim_0.45ts_25seed_only,25,0.45,1.0,1.0,200
25,BasicModelSmall_256dim_0.45ts_26seed_only,26,0.45,1.0,1.0,238
26,BasicModelSmall_256dim_0.45ts_27seed_only,27,0.45,1.0,1.0,189
27,BasicModelSmall_256dim_0.5ts_28seed_only,28,0.5,1.0,1.0,274
28,BasicModelSmall_256dim_0.5ts_29seed_only,29,0.5,1.0,1.0,229
29,BasicModelSmall_256dim_0.5ts_30seed_only,30,0.5,1.0,1.0,245
30,BasicModelSmall_256dim_0.55ts_31seed_only,31,0.55,1.0,0.9999999403953552,317
31,BasicModelSmall_256dim_0.55ts_32seed_only,32,0.55,1.0,0.9999999403953552,303
32,BasicModelSmall_256dim_0.55ts_33seed_only,33,0.55,1.0,0.9999999403953552,436
33,BasicModelSmall_256dim_0.6ts_34seed_only,34,0.6,1.0,1.0,4472
34,BasicModelSmall_256dim_0.6ts_35seed_only,35,0.6,1.0,0.9952550530433655,19999
35,BasicModelSmall_256dim_0.6ts_36seed_only,36,0.6,1.0,1.0,468
36,BasicModelSmall_256dim_0.65ts_37seed_only,37,0.65,1.0,0.9961665272712708,19999
37,BasicModelSmall_256dim_0.65ts_38seed_only,38,0.65,1.0,0.9972618222236633,19999
38,BasicModelSmall_256dim_0.65ts_39seed_only,39,0.65,1.0,0.9972618222236633,19999
39,BasicModelSmall_256dim_0.65ts_40seed_only,40,0.65,1.0,0.9972618222236633,19999
40,BasicModelSmall_256dim_0.65ts_41seed_only,41,0.65,1.0,0.9474260807037354,19999
41,BasicModelSmall_256dim_0.66ts_42seed_only,42,0.66,1.0,0.9886730909347534,19999
42,BasicModelSmall_256dim_0.66ts_43seed_only,43,0.66,1.0,0.9940668344497681,19999
43,BasicModelSmall_256dim_0.66ts_44seed_only,44,0.66,1.0,0.9967637062072754,19999
44,BasicModelSmall_256dim_0.66ts_45seed_only,45,0.66,1.0,0.9875943660736084,19999
45,BasicModelSmall_256dim_0.66ts_46seed_only,46,0.66,1.0,0.9956849813461304,19999
