,title,seed,test_size,epochs,test_apb_acc,test_amb_acc,test_acc,train_acc
0,BasicModelSmall_256dim_0.05ts_1seed_combined,1,0.05,9999,1.0,1.0,1.0,1.0
1,BasicModelSmall_256dim_0.05ts_2seed_combined,2,0.05,9999,1.0,1.0,1.0,0.9999999403953552
2,BasicModelSmall_256dim_0.05ts_3seed_combined,3,0.05,9999,1.0,1.0,1.0,1.0
3,BasicModelSmall_256dim_0.1ts_4seed_combined,4,0.1,9999,1.0,1.0,1.0,1.0
4,BasicModelSmall_256dim_0.1ts_5seed_combined,5,0.1,9999,1.0,1.0,1.0,1.0
5,BasicModelSmall_256dim_0.1ts_6seed_combined,6,0.1,9999,1.0,1.0,1.0,1.0
6,BasicModelSmall_256dim_0.15ts_7seed_combined,7,0.15,9999,1.0,1.0,1.0,1.0
7,BasicModelSmall_256dim_0.15ts_8seed_combined,8,0.15,9999,0.9999999403953552,1.0,0.9999999403953552,1.0
8,BasicModelSmall_256dim_0.15ts_9seed_combined,9,0.15,9999,1.0,1.0,1.0,1.0
9,BasicModelSmall_256dim_0.2ts_10seed_combined,10,0.2,9999,1.0,1.0,1.0,1.0
10,BasicModelSmall_256dim_0.2ts_11seed_combined,11,0.2,9999,1.0,1.0,1.0,1.0
11,BasicModelSmall_256dim_0.2ts_12seed_combined,12,0.2,9999,1.0,1.0,1.0,1.0
12,BasicModelSmall_256dim_0.25ts_13seed_combined,13,0.25,9999,1.0,1.0,1.0,1.0
13,BasicModelSmall_256dim_0.25ts_14seed_combined,14,0.25,9999,1.0,1.0,1.0,1.0
14,BasicModelSmall_256dim_0.25ts_15seed_combined,15,0.25,9999,1.0,1.0,0.9999999403953552,1.0
15,BasicModelSmall_256dim_0.3ts_16seed_combined,16,0.3,9999,0.9977949857711792,0.9987775683403015,0.9982607960700989,1.0
16,BasicModelSmall_256dim_0.3ts_17seed_combined,17,0.3,9999,1.0,0.9999999403953552,0.9999999403953552,1.0
17,BasicModelSmall_256dim_0.3ts_18seed_combined,18,0.3,9999,1.0,1.0,0.9999999403953552,0.9999999403953552
18,BasicModelSmall_256dim_0.35ts_19seed_combined,19,0.35,9999,1.0,1.0,0.9999999403953552,1.0
19,BasicModelSmall_256dim_0.35ts_20seed_combined,20,0.35,9999,0.9989539384841919,0.9960199594497681,0.9974503517150879,1.0
20,BasicModelSmall_256dim_0.35ts_21seed_combined,21,0.35,9999,1.0,0.9990224838256836,0.9994944334030151,1.0
21,BasicModelSmall_256dim_0.4ts_22seed_combined,22,0.4,9999,1.0,0.9955947399139404,0.9977558851242065,1.0
22,BasicModelSmall_256dim_0.4ts_23seed_combined,23,0.4,9999,0.9990900754928589,0.995539665222168,0.9972973465919495,0.9999999403953552
23,BasicModelSmall_256dim_0.4ts_24seed_combined,24,0.4,9999,0.9972949028015137,0.9981949329376221,0.9977446794509888,1.0
24,BasicModelSmall_256dim_0.45ts_25seed_combined,25,0.45,9999,0.9860248565673828,0.9722442626953125,0.9792075157165527,1.0
25,BasicModelSmall_256dim_0.45ts_26seed_combined,26,0.45,9999,0.9928797483444214,0.9911003708839417,0.9919999837875366,1.0
26,BasicModelSmall_256dim_0.45ts_27seed_combined,27,0.45,9999,0.9823718070983887,0.97557133436203,0.9789431691169739,1.0
27,BasicModelSmall_256dim_0.5ts_28seed_combined,28,0.5,9999,0.9879003763198853,0.8677685856819153,0.9268463850021362,1.0
28,BasicModelSmall_256dim_0.5ts_29seed_combined,29,0.5,9999,0.9703328013420105,0.9861918687820435,0.9782450795173645,1.0
29,BasicModelSmall_256dim_0.5ts_30seed_combined,30,0.5,9999,0.9815210103988647,0.9597172737121582,0.970588207244873,1.0
30,BasicModelSmall_256dim_0.55ts_31seed_combined,31,0.55,9999,0.9006410241127014,0.9443708658218384,0.9221498370170593,1.0
31,BasicModelSmall_256dim_0.55ts_32seed_combined,32,0.55,9999,0.9572368860244751,0.8325850367546082,0.8941214084625244,1.0
32,BasicModelSmall_256dim_0.55ts_33seed_combined,33,0.55,9999,0.9503967761993408,0.7983028888702393,0.8738501667976379,1.0
33,BasicModelSmall_256dim_0.6ts_34seed_combined,34,0.6,9999,0.8313468098640442,0.6533564925193787,0.7410452365875244,1.0
34,BasicModelSmall_256dim_0.6ts_35seed_combined,35,0.6,9999,0.7397260069847107,0.6587759852409363,0.6986221075057983,1.0
35,BasicModelSmall_256dim_0.6ts_36seed_combined,36,0.6,9999,0.8665077686309814,0.5533256530761719,0.7068965435028076,1.0
36,BasicModelSmall_256dim_0.65ts_37seed_combined,37,0.65,9999,0.6343445181846619,0.6451790928840637,0.6397159099578857,1.0
37,BasicModelSmall_256dim_0.65ts_38seed_combined,38,0.65,9999,0.7862298488616943,0.5770901441574097,0.6804831027984619,1.0
38,BasicModelSmall_256dim_0.65ts_39seed_combined,39,0.65,9999,0.5520777106285095,0.6978998184204102,0.625067412853241,0.9999999403953552
39,BasicModelSmall_256dim_0.65ts_40seed_combined,40,0.65,9999,0.6708583831787109,0.26587727665901184,0.46677517890930176,1.0
40,BasicModelSmall_256dim_0.65ts_41seed_combined,41,0.65,9999,0.5903279781341553,0.4964461326599121,0.5429989099502563,1.0
41,BasicModelSmall_256dim_0.66ts_42seed_combined,42,0.66,9999,0.6906710267066956,0.3857598304748535,0.5362045764923096,1.0
42,BasicModelSmall_256dim_0.66ts_43seed_combined,43,0.66,9999,0.5655247569084167,0.5215517282485962,0.5434370636940002,0.9999999403953552
43,BasicModelSmall_256dim_0.66ts_44seed_combined,44,0.66,9999,0.786876380443573,0.3917025923728943,0.5886486768722534,1.0
44,BasicModelSmall_256dim_0.66ts_45seed_combined,45,0.66,9999,0.47616496682167053,0.4023115038871765,0.4397394359111786,1.0
45,BasicModelSmall_256dim_0.66ts_46seed_combined,46,0.66,9999,0.6405999064445496,0.571351945400238,0.6060037612915039,1.0
46,BasicModelSmall_256dim_0.67ts_47seed_combined,47,0.67,9999,0.4785115122795105,0.5952000021934509,0.5363467931747437,1.0
47,BasicModelSmall_256dim_0.67ts_48seed_combined,48,0.67,9999,0.441207617521286,0.5314834713935852,0.48617756366729736,1.0
48,BasicModelSmall_256dim_0.67ts_49seed_combined,49,0.67,9999,0.44681990146636963,0.45705199241638184,0.4519563317298889,1.0
49,BasicModelSmall_256dim_0.67ts_50seed_combined,50,0.67,9999,0.5974234938621521,0.4986904263496399,0.5474549531936646,1.0
50,BasicModelSmall_256dim_0.67ts_51seed_combined,51,0.67,9999,0.31458336114883423,0.355042040348053,0.33472803235054016,1.0
51,BasicModelSmall_256dim_0.68ts_52seed_combined,52,0.68,9999,0.3564102351665497,0.45721784234046936,0.40622568130493164,1.0
52,BasicModelSmall_256dim_0.68ts_53seed_combined,53,0.68,9999,0.5114971995353699,0.5850730538368225,0.5478956699371338,1.0
53,BasicModelSmall_256dim_0.68ts_54seed_combined,54,0.68,9999,0.32987552881240845,0.6510637998580933,0.4884454011917114,0.9999999403953552
54,BasicModelSmall_256dim_0.68ts_55seed_combined,55,0.68,9999,0.4751698672771454,0.5546875,0.5150013566017151,1.0
55,BasicModelSmall_256dim_0.68ts_56seed_combined,56,0.68,9999,0.604023277759552,0.4173106551170349,0.5093994736671448,1.0
56,BasicModelSmall_256dim_0.69ts_57seed_combined,57,0.69,9999,0.6754063963890076,0.19035403430461884,0.43023860454559326,1.0
57,BasicModelSmall_256dim_0.69ts_58seed_combined,58,0.69,9999,0.34654995799064636,0.42864635586738586,0.38721415400505066,1.0
58,BasicModelSmall_256dim_0.69ts_59seed_combined,59,0.69,9999,0.3579927682876587,0.45905834436416626,0.40879857540130615,0.9999999403953552
59,BasicModelSmall_256dim_0.69ts_60seed_combined,60,0.69,9999,0.48221755027770996,0.05634517967700958,0.2660999298095703,1.0
60,BasicModelSmall_256dim_0.69ts_61seed_combined,61,0.69,9999,0.5133717656135559,0.2384851574897766,0.37425535917282104,1.0
61,BasicModelSmall_256dim_0.7ts_62seed_combined,62,0.7,9999,0.22572572529315948,0.26574501395225525,0.24550746381282806,0.9999999403953552
62,BasicModelSmall_256dim_0.7ts_63seed_combined,63,0.7,9999,0.34052157402038574,0.4039533734321594,0.3720695674419403,0.9999999403953552
63,BasicModelSmall_256dim_0.7ts_64seed_combined,64,0.7,9999,0.20766128599643707,0.5655277967453003,0.3855513334274292,1.0
64,BasicModelSmall_256dim_0.7ts_65seed_combined,65,0.7,9999,0.5601445436477661,0.2318987399339676,0.3944273889064789,1.0
65,BasicModelSmall_256dim_0.7ts_66seed_combined,66,0.7,9999,0.2874743342399597,0.14782609045505524,0.21752497553825378,0.9999999403953552
66,BasicModelSmall_256dim_0.71ts_67seed_combined,67,0.71,9999,0.15563242137432098,0.42168673872947693,0.2875996232032776,1.0
67,BasicModelSmall_256dim_0.71ts_68seed_combined,68,0.71,9999,0.43983614444732666,0.23157371580600739,0.334259033203125,1.0
68,BasicModelSmall_256dim_0.71ts_69seed_combined,69,0.71,9999,0.2655705213546753,0.09792284667491913,0.18143460154533386,1.0
69,BasicModelSmall_256dim_0.71ts_70seed_combined,70,0.71,9999,0.0764392837882042,0.425888329744339,0.24696557223796844,0.9999999403953552
70,BasicModelSmall_256dim_0.71ts_71seed_combined,71,0.71,9999,0.2711693346500397,0.3272186517715454,0.2994251549243927,1.0
