,title,seed,test_size,train_acc,test_acc,epochs
0,BasicModelSmall_256dim_0.6ts_1seed_only,1,0.6,1.0,0.9994069337844849,9999
1,BasicModelSmall_256dim_0.6ts_2seed_only,2,0.6,1.0,0.9964413046836853,9999
2,BasicModelSmall_256dim_0.6ts_3seed_only,3,0.6,1.0,1.0,543
3,BasicModelSmall_256dim_0.61ts_4seed_only,4,0.61,1.0,0.9964994192123413,9999
4,BasicModelSmall_256dim_0.61ts_5seed_only,5,0.61,1.0,1.0,701
5,BasicModelSmall_256dim_0.61ts_6seed_only,6,0.61,1.0,0.9964994192123413,9999
6,BasicModelSmall_256dim_0.62ts_7seed_only,7,0.62,1.0,1.0,391
7,BasicModelSmall_256dim_0.62ts_8seed_only,8,0.62,1.0,1.0,472
8,BasicModelSmall_256dim_0.62ts_9seed_only,9,0.62,1.0,0.9988518953323364,9999
9,BasicModelSmall_256dim_0.63ts_10seed_only,10,0.63,1.0,0.9971751570701599,9999
10,BasicModelSmall_256dim_0.63ts_11seed_only,11,0.63,1.0,0.9937853217124939,9999
11,BasicModelSmall_256dim_0.63ts_12seed_only,12,0.63,1.0,0.9988700747489929,9999
12,BasicModelSmall_256dim_0.64ts_13seed_only,13,0.64,0.9999999403953552,0.9938820600509644,9999
13,BasicModelSmall_256dim_0.64ts_14seed_only,14,0.64,0.9999999403953552,0.9999999403953552,720
14,BasicModelSmall_256dim_0.64ts_15seed_only,15,0.64,0.9999999403953552,0.9955505728721619,9999
15,BasicModelSmall_256dim_0.65ts_16seed_only,16,0.65,1.0,0.9939759373664856,9999
16,BasicModelSmall_256dim_0.65ts_17seed_only,17,0.65,1.0,0.9945235848426819,9999
17,BasicModelSmall_256dim_0.65ts_18seed_only,18,0.65,1.0,0.9961665272712708,9999
18,BasicModelSmall_256dim_0.66ts_19seed_only,19,0.66,1.0,0.9892124533653259,9999
19,BasicModelSmall_256dim_0.66ts_20seed_only,20,0.66,1.0,0.9951456189155579,9999
