nucid,n,z,mass_excess,mass_excess_num,mass_excess_unc,mass_excess_sys,mass_excess_round,mass_excess_round_unc,binding,binding_num,binding_unc,binding_sys,binding_round,binding_round_unc,beta_decay_en_round,beta_decay_en_round_unc,beta_decay_en,beta_decay_en_num,beta_decay_en_unc,beta_decay_en_sys,atomic_mass,atomic_mass_num,atomic_mass_unc,atomic_mass_sys,atomic_mass_round,atomic_mass_round_unc,s2n,s2n_num,s2n_unc,s2n_round,s2n_round_unc,s2n_sys,s2p,s2p_num,s2p_unc,s2p_round,s2p_round_unc,s2p_sys,qa,qa_num,qa_unc,qa_round,qa_round_unc,qa_sys,q2bm,q2bm_num,q2bm_unc,q2bm_round,q2bm_round_unc,q2bm_sys,qep,qep_num,qep_unc,qep_round,qep_round_unc,qep_sys,qbmn,qbmn_num,qbmn_unc,qbmn_round,qbmn_round_unc,qbmn_sys,sn,sn_num,sn_unc,sn_round,sn_round_unc,sn_sys,sp,sp_num,sp_unc,sp_round,sp_round_unc,sp_sys,q4bm,q4bm_num,q4bm_unc,q4bm_round,q4bm_round_unc,q4bm_sys,qda,qda_num,qda_unc,qda_round,qda_round_unc,qda_sys,qpa,qpa_num,qpa_unc,qpa_round,qpa_round_unc,qpa_sys,qna,qna_num,qna_unc,qna_round,qna_round_unc,qna_sys,qec_num,qec_unc,qec_round,qec_round_unc,qec
1N,1,0,8071.31806,8071.31806,0.00044,N,8071.3181,0.0004,0.0,0,0.0,N,0.0,0.0,782.347,"&lt;0.5 eV",782.3470,782.347,0.0004,N,1008664.91590,1008664.9159,0.00047,N,1008664.9159,0.0005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0,0.0,0.0,0.0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1H,0,1,7288.971064,7288.971064,0.000013,N,7288.97106,0.00001,0.0,0,0.0,N,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,1007825.031898,1007825.031898,0.000014,N,1007825.03190,0.00001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0,0.0,0.0,0.0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-782.347,0.0,-782.347,0.000,-782.347
2H,1,1,13135.722895,13135.722895,0.000015,N,13135.72290,0.00002,1112.2831,1112.2831,0.0002,N,1112.283,"0.5 eV",NULL,NULL,NULL,NULL,NULL,NULL,2014101.777844,2014101.777844,0.000015,N,2014101.77784,0.00002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2224.5662,2224.5662,0.0004,2224.5660,0.0004,N,2224.5662,2224.5662,0.0004,2224.5660,0.0004,N,23846.5299,23846.5299,0.0002,23846.5299,0.0002,N,NULL,NULL,NULL,23846.52740,0.00015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3H,2,1,14949.81090,14949.8109,0.00008,N,14949.81090,0.00008,2827.2654,2827.2654,0.0003,N,2827.265,"0.5 eV",18.592,"&lt;0.5 eV",18.59202,18.59202,0.00006,N,3016049.28132,3016049.28132,0.00008,N,3016049.28132,0.00008,8481.7963,8481.7963,0.0009,8481.7954,0.0009,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-13717,-13717,2000,-13717,2000,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6257.2301,6257.2301,0.0004,6257.2294,0.0004,N,NULL,NULL,NULL,NULL,NULL,NULL,17589.2999,17589.2999,0.0005,17589.2999,0.0005,N,19813.8661,19813.8661,0.0002,17589.2980,0.0005,N,NULL,NULL,NULL,19813.86399,0.00017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3HE,1,2,14931.21888,14931.21888,0.00006,N,14931.21888,0.00006,2572.68044,2572.68044,0.00015,N,2572.680,"0.5 eV",-13736,2000,-13736,-13736,2000,Y,3016029.32197,3016029.32197,0.00006,N,3016029.32197,0.00006,NULL,NULL,NULL,NULL,NULL,NULL,7718.0413,7718.0413,0.0004,7718.0405,0.0004,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5493.4751,5493.4751,0.0001,5493.474497,0.000022,N,18353.0548,18353.0548,0.0002,18353.0548,0.0002,N,NULL,NULL,NULL,18353.05290,0.00016,NULL,20577.6211,20577.6211,0.0005,20577.6211,0.0005,N,NULL,NULL,NULL,20577.6189,0.0005,NULL,-18.592,0.0,-18.592,0.000,-18.592
3LI,0,3,28667,28667,2000,Y,28670,2000,-2267,-2267,667,Y,-2270,670,NULL,NULL,NULL,NULL,NULL,NULL,3030775,3030775,2147,Y,3030780,2150,NULL,NULL,NULL,NULL,NULL,NULL,-6800,-6800,2000,-6800,2000,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8242,8242,2000,8242,2000,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13735.781,2000.0,13736,2000,13735.781
4H,3,1,24621.129,24621.129,100.000,N,24620,100,1720.4491,1720.4491,25.0000,N,1720,25,22200,100,22196.2131,22196.2131,100.0000,N,4026431.867,4026431.867,107.354,N,4026430,110,4657.2300,4657.23,100.0000,4657,100,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-702.0609,-702.0609,234.5208,-702,235,N,NULL,NULL,NULL,NULL,NULL,NULL,1618.5921,1618.5921,100.0000,1619,100,N,-1600.0000,-1600,100.0000,-1600,100,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21413.8661,21413.8661,100.0000,21414,100,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4HE,2,2,2424.91587,2424.91587,0.00015,N,2424.91587,0.00015,7073.9156,7073.9156,0.0002,N,7073.916,"0.5 eV",-22898,212,-22898.2740,-22898.274,212.1320,N,4002603.25413,4002603.25413,0.00016,N,4002603.25413,0.00016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0,0.0,0.0,0.0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-34313,-34313,2000,-34313,2000,Y,20577.6211,20577.6211,0.0005,20577.6189,0.0005,N,19813.8661,19813.8661,0.0002,19813.86399,0.00017,N,0.0,0,0.0,0.0,0.0,N,0.0000,0,0.0000,0.0000,0.0000,N,-0.0000,0,0.0000,0.0000,0.0000,N,NULL,NULL,NULL,NULL,NULL,NULL,-22196.213,100.0,-22196,100,-22196.213
4LI,1,3,25323.190,25323.19,212.132,N,25320,210,1153.7603,1153.7603,53.0330,N,1150,50,NULL,NULL,NULL,NULL,NULL,NULL,4027185.561,4027185.561,227.733,N,4027190,230,NULL,NULL,NULL,NULL,NULL,NULL,2390.4751,2390.4751,212.1320,2390,212,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3084.4079,3084.4079,212.1320,3084,212,N,NULL,NULL,NULL,NULL,NULL,NULL,11415,11415,2011,11415,2011,Y,-3102.9999,-3102.9999,212.1320,-3103,212,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23680.6210,23680.621,212.1320,23681,212,N,NULL,NULL,NULL,NULL,NULL,NULL,22898.274,212.132,22898,212,22898.274
5H,4,1,32892.447,32892.447,89.443,N,32890,90,1336.3592,1336.3592,17.8885,N,1336,18,21660,90,21661.2131,21661.2131,91.6515,N,5035311.492,5035311.492,96.020,N,5035310,100,-1800.0001,-1800.0001,89.4427,-1800,89,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21213.5602,21213.5602,102.4695,21214,102,N,NULL,NULL,NULL,NULL,NULL,NULL,22396.2132,22396.2132,89.4427,22396,89,N,-200.0000,-200,134.1641,-200,134,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
